search_id,source_id,query_terms,date_start,date_end,filters,result_count,earliest_hit_date,latest_hit_date,sample_hit_ids,search_url_or_command,notes
MANUAL_000001,UDNData,魯肉飯,1946-01-01,1946-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19460101&to=19461231,manual restricted-archive search queue
MANUAL_000002,UDNData,魯肉飯,1947-01-01,1947-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19470101&to=19471231,manual restricted-archive search queue
MANUAL_000003,UDNData,魯肉飯,1948-01-01,1948-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19480101&to=19481231,manual restricted-archive search queue
MANUAL_000004,UDNData,魯肉飯,1949-01-01,1949-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19490101&to=19491231,manual restricted-archive search queue
MANUAL_000005,UDNData,魯肉飯,1950-01-01,1950-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19500101&to=19501231,manual restricted-archive search queue
MANUAL_000006,UDNData,魯肉飯,1951-01-01,1951-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19510101&to=19511231,manual restricted-archive search queue
MANUAL_000007,UDNData,魯肉飯,1952-01-01,1952-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19520101&to=19521231,manual restricted-archive search queue
MANUAL_000008,UDNData,魯肉飯,1953-01-01,1953-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19530101&to=19531231,manual restricted-archive search queue
MANUAL_000009,UDNData,魯肉飯,1954-01-01,1954-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19540101&to=19541231,manual restricted-archive search queue
MANUAL_000010,UDNData,魯肉飯,1955-01-01,1955-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19550101&to=19551231,manual restricted-archive search queue
MANUAL_000011,UDNData,魯肉飯,1956-01-01,1956-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19560101&to=19561231,manual restricted-archive search queue
MANUAL_000012,UDNData,魯肉飯,1957-01-01,1957-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19570101&to=19571231,manual restricted-archive search queue
MANUAL_000013,UDNData,魯肉飯,1958-01-01,1958-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19580101&to=19581231,manual restricted-archive search queue
MANUAL_000014,UDNData,魯肉飯,1959-01-01,1959-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19590101&to=19591231,manual restricted-archive search queue
MANUAL_000015,UDNData,魯肉飯,1960-01-01,1960-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19600101&to=19601231,manual restricted-archive search queue
MANUAL_000016,UDNData,魯肉飯,1961-01-01,1961-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19610101&to=19611231,manual restricted-archive search queue
MANUAL_000017,UDNData,魯肉飯,1962-01-01,1962-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19620101&to=19621231,manual restricted-archive search queue
MANUAL_000018,UDNData,魯肉飯,1963-01-01,1963-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19630101&to=19631231,manual restricted-archive search queue
MANUAL_000019,UDNData,魯肉飯,1964-01-01,1964-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19640101&to=19641231,manual restricted-archive search queue
MANUAL_000020,UDNData,魯肉飯,1965-01-01,1965-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19650101&to=19651231,manual restricted-archive search queue
MANUAL_000021,UDNData,魯肉飯,1966-01-01,1966-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19660101&to=19661231,manual restricted-archive search queue
MANUAL_000022,UDNData,魯肉飯,1967-01-01,1967-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19670101&to=19671231,manual restricted-archive search queue
MANUAL_000023,UDNData,魯肉飯,1968-01-01,1968-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19680101&to=19681231,manual restricted-archive search queue
MANUAL_000024,UDNData,魯肉飯,1969-01-01,1969-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19690101&to=19691231,manual restricted-archive search queue
MANUAL_000025,UDNData,魯肉飯,1970-01-01,1970-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19700101&to=19701231,manual restricted-archive search queue
MANUAL_000026,UDNData,魯肉飯,1971-01-01,1971-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19710101&to=19711231,manual restricted-archive search queue
MANUAL_000027,UDNData,魯肉飯,1972-01-01,1972-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19720101&to=19721231,manual restricted-archive search queue
MANUAL_000028,UDNData,魯肉飯,1973-01-01,1973-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19730101&to=19731231,manual restricted-archive search queue
MANUAL_000029,UDNData,魯肉飯,1974-01-01,1974-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19740101&to=19741231,manual restricted-archive search queue
MANUAL_000030,UDNData,魯肉飯,1975-01-01,1975-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19750101&to=19751231,manual restricted-archive search queue
MANUAL_000031,UDNData,魯肉飯,1976-01-01,1976-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19760101&to=19761231,manual restricted-archive search queue
MANUAL_000032,UDNData,魯肉飯,1977-01-01,1977-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19770101&to=19771231,manual restricted-archive search queue
MANUAL_000033,UDNData,魯肉飯,1978-01-01,1978-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19780101&to=19781231,manual restricted-archive search queue
MANUAL_000034,UDNData,魯肉飯,1979-01-01,1979-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19790101&to=19791231,manual restricted-archive search queue
MANUAL_000035,UDNData,魯肉飯,1980-01-01,1980-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19800101&to=19801231,manual restricted-archive search queue
MANUAL_000036,UDNData,魯肉飯,1981-01-01,1981-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19810101&to=19811231,manual restricted-archive search queue
MANUAL_000037,UDNData,魯肉飯,1982-01-01,1982-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19820101&to=19821231,manual restricted-archive search queue
MANUAL_000038,UDNData,魯肉飯,1983-01-01,1983-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19830101&to=19831231,manual restricted-archive search queue
MANUAL_000039,UDNData,魯肉飯,1984-01-01,1984-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19840101&to=19841231,manual restricted-archive search queue
MANUAL_000040,UDNData,魯肉飯,1985-01-01,1985-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19850101&to=19851231,manual restricted-archive search queue
MANUAL_000041,UDNData,魯肉飯,1986-01-01,1986-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19860101&to=19861231,manual restricted-archive search queue
MANUAL_000042,UDNData,魯肉飯,1987-01-01,1987-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E9%AD%AF%E8%82%89%E9%A3%AF&from=19870101&to=19871231,manual restricted-archive search queue
MANUAL_000043,UDNData,滷肉飯,1946-01-01,1946-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E6%BB%B7%E8%82%89%E9%A3%AF&from=19460101&to=19461231,manual restricted-archive search queue
MANUAL_000044,UDNData,滷肉飯,1947-01-01,1947-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E6%BB%B7%E8%82%89%E9%A3%AF&from=19470101&to=19471231,manual restricted-archive search queue
MANUAL_000045,UDNData,滷肉飯,1948-01-01,1948-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E6%BB%B7%E8%82%89%E9%A3%AF&from=19480101&to=19481231,manual restricted-archive search queue
MANUAL_000046,UDNData,滷肉飯,1949-01-01,1949-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E6%BB%B7%E8%82%89%E9%A3%AF&from=19490101&to=19491231,manual restricted-archive search queue
MANUAL_000047,UDNData,滷肉飯,1950-01-01,1950-12-31,"{""source_name"": ""UDNData""}",,,,,https://udndata.com/ndapp/udntag/finance/Search?keyword=%E6%BB%B7%E8%82%89%E9%A3%AF&from=19500101&to=19501231,manual restricted-archive search queue
