attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count
BATCH_AA_001,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄老味城市記憶AA01,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,"Kaohsiung Travel records 高雄老味城市記憶AA01 in Kaohsiung food context, with dish markers 米糕;肉燥 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_001,probable,Taiwan,"Kaohsiung Travel records 高雄老味城市記憶AA01 in Kaohsiung food context, with dish markers 米糕;肉燥 and Taiwan/local markers 高雄;臺灣.",米糕;肉燥,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,373fdfc140dbeb0e,BATCH_AA_001,1
BATCH_AA_002,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄老味茶飲AA02,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,"Kaohsiung Travel records 高雄老味茶飲AA02 in Kaohsiung food context, with dish markers 茶飲;菊花茶 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_002,probable,Taiwan,"Kaohsiung Travel records 高雄老味茶飲AA02 in Kaohsiung food context, with dish markers 茶飲;菊花茶 and Taiwan/local markers 高雄;臺灣.",茶飲;菊花茶,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,0c4ceb003d1a6770,BATCH_AA_002,1
BATCH_AA_003,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄老味江浙菜AA03,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,"Kaohsiung Travel records 高雄老味江浙菜AA03 in Kaohsiung food context, with dish markers 江浙菜;鱔糊 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_003,probable,Taiwan,"Kaohsiung Travel records 高雄老味江浙菜AA03 in Kaohsiung food context, with dish markers 江浙菜;鱔糊 and Taiwan/local markers 高雄;臺灣.",江浙菜;鱔糊,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,44f4bc283a1ec01c,BATCH_AA_003,1
BATCH_AA_004,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄老味冷熱飲AA04,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,"Kaohsiung Travel records 高雄老味冷熱飲AA04 in Kaohsiung food context, with dish markers 燒麻糬;麵茶粉 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_004,probable,Taiwan,"Kaohsiung Travel records 高雄老味冷熱飲AA04 in Kaohsiung food context, with dish markers 燒麻糬;麵茶粉 and Taiwan/local markers 高雄;臺灣.",燒麻糬;麵茶粉,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,173756cc76b79f4e,BATCH_AA_004,1
BATCH_AA_005,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄老味鹹水鴨AA05,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,"Kaohsiung Travel records 高雄老味鹹水鴨AA05 in Kaohsiung food context, with dish markers 鹹水鴨;小吃 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_005,probable,Taiwan,"Kaohsiung Travel records 高雄老味鹹水鴨AA05 in Kaohsiung food context, with dish markers 鹹水鴨;小吃 and Taiwan/local markers 高雄;臺灣.",鹹水鴨;小吃,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,d5bbce00d9ccc72c,BATCH_AA_005,1
BATCH_AA_006,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄老味冰品AA06,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,"Kaohsiung Travel records 高雄老味冰品AA06 in Kaohsiung food context, with dish markers 剉冰;甜湯 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_006,probable,Taiwan,"Kaohsiung Travel records 高雄老味冰品AA06 in Kaohsiung food context, with dish markers 剉冰;甜湯 and Taiwan/local markers 高雄;臺灣.",剉冰;甜湯,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,6c4752a41d365c52,BATCH_AA_006,1
BATCH_AA_007,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄老味西餐AA07,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,"Kaohsiung Travel records 高雄老味西餐AA07 in Kaohsiung food context, with dish markers 牛排;西餐 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_007,probable,Taiwan,"Kaohsiung Travel records 高雄老味西餐AA07 in Kaohsiung food context, with dish markers 牛排;西餐 and Taiwan/local markers 高雄;臺灣.",牛排;西餐,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,f2102a2923910fb2,BATCH_AA_007,1
BATCH_AA_008,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄老味火鍋AA08,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,"Kaohsiung Travel records 高雄老味火鍋AA08 in Kaohsiung food context, with dish markers 火鍋;烤肉 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_008,probable,Taiwan,"Kaohsiung Travel records 高雄老味火鍋AA08 in Kaohsiung food context, with dish markers 火鍋;烤肉 and Taiwan/local markers 高雄;臺灣.",火鍋;烤肉,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,f1063885b0526060,BATCH_AA_008,1
BATCH_AA_009,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄老味肉燥飯AA09,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,"Kaohsiung Travel records 高雄老味肉燥飯AA09 in Kaohsiung food context, with dish markers 肉燥飯;飯 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_009,probable,Taiwan,"Kaohsiung Travel records 高雄老味肉燥飯AA09 in Kaohsiung food context, with dish markers 肉燥飯;飯 and Taiwan/local markers 高雄;臺灣.",肉燥飯;飯,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,1d381b046e8b8505,BATCH_AA_009,1
BATCH_AA_010,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄老味市場食物AA10,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,"Kaohsiung Travel records 高雄老味市場食物AA10 in Kaohsiung food context, with dish markers 市場小吃;米食 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_010,probable,Taiwan,"Kaohsiung Travel records 高雄老味市場食物AA10 in Kaohsiung food context, with dish markers 市場小吃;米食 and Taiwan/local markers 高雄;臺灣.",市場小吃;米食,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,61ef31877fa65181,BATCH_AA_010,1
BATCH_AA_011,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄城市交流肉圓AA01,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/3490/,official_event_profile,"Kaohsiung Travel records 高雄城市交流肉圓AA01 in Kaohsiung food context, with dish markers 肉圓;小吃 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_011,probable,Taiwan,"Kaohsiung Travel records 高雄城市交流肉圓AA01 in Kaohsiung food context, with dish markers 肉圓;小吃 and Taiwan/local markers 高雄;臺灣.",肉圓;小吃,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/3490/,8de6e4b0f063687f,BATCH_AA_011,1
BATCH_AA_012,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄城市交流紅茶AA02,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/3490/,official_event_profile,"Kaohsiung Travel records 高雄城市交流紅茶AA02 in Kaohsiung food context, with dish markers 紅茶牛奶;早餐 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_012,probable,Taiwan,"Kaohsiung Travel records 高雄城市交流紅茶AA02 in Kaohsiung food context, with dish markers 紅茶牛奶;早餐 and Taiwan/local markers 高雄;臺灣.",紅茶牛奶;早餐,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/3490/,71eeb2776610f97b,BATCH_AA_012,1
BATCH_AA_013,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄城市交流虱目魚AA03,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/3490/,official_event_profile,"Kaohsiung Travel records 高雄城市交流虱目魚AA03 in Kaohsiung food context, with dish markers 虱目魚湯;肉燥飯 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_013,probable,Taiwan,"Kaohsiung Travel records 高雄城市交流虱目魚AA03 in Kaohsiung food context, with dish markers 虱目魚湯;肉燥飯 and Taiwan/local markers 高雄;臺灣.",虱目魚湯;肉燥飯,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/3490/,f6a3daa0c167fe45,BATCH_AA_013,1
BATCH_AA_014,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄城市交流米糕AA04,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/3490/,official_event_profile,"Kaohsiung Travel records 高雄城市交流米糕AA04 in Kaohsiung food context, with dish markers 米糕;肉燥 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_014,probable,Taiwan,"Kaohsiung Travel records 高雄城市交流米糕AA04 in Kaohsiung food context, with dish markers 米糕;肉燥 and Taiwan/local markers 高雄;臺灣.",米糕;肉燥,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/3490/,a17db284705c2797,BATCH_AA_014,1
BATCH_AA_015,2024,2024-01-01,2015-2025_internet_wanghong_capital,高雄城市交流肉燥飯AA05,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/3490/,official_event_profile,"Kaohsiung Travel records 高雄城市交流肉燥飯AA05 in Kaohsiung food context, with dish markers 肉燥飯;飯 and Taiwan/local markers 高雄;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_015,probable,Taiwan,"Kaohsiung Travel records 高雄城市交流肉燥飯AA05 in Kaohsiung food context, with dish markers 肉燥飯;飯 and Taiwan/local markers 高雄;臺灣.",肉燥飯;飯,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/3490/,e366081a7541d522,BATCH_AA_015,1
