attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count
BATCH_AB_001,2025,2025-01-01,2015-2025_internet_wanghong_capital,台南必吃牛肉湯AB01,Tainan,Taiwan,Taiwan-side,official_cuisine_index,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,official_cuisine_page,"Tainan Tourism records 台南必吃牛肉湯AB01 in Tainan food context, with dish markers 牛肉湯;台南限定 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_001,probable,Taiwan,"Tainan Tourism records 台南必吃牛肉湯AB01 in Tainan food context, with dish markers 牛肉湯;台南限定 and Taiwan/local markers 台南;臺灣.",牛肉湯;台南限定,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,36989f6ce70cb91a,BATCH_AB_001,1
BATCH_AB_002,2025,2025-01-01,2015-2025_internet_wanghong_capital,台南必吃鹹粥AB02,Tainan,Taiwan,Taiwan-side,official_cuisine_index,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,official_cuisine_page,"Tainan Tourism records 台南必吃鹹粥AB02 in Tainan food context, with dish markers 鹹粥;早餐 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_002,probable,Taiwan,"Tainan Tourism records 台南必吃鹹粥AB02 in Tainan food context, with dish markers 鹹粥;早餐 and Taiwan/local markers 台南;臺灣.",鹹粥;早餐,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,4d24d5c1e1a32491,BATCH_AB_002,1
BATCH_AB_003,2025,2025-01-01,2015-2025_internet_wanghong_capital,台南必吃虱目魚AB03,Tainan,Taiwan,Taiwan-side,official_cuisine_index,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,official_cuisine_page,"Tainan Tourism records 台南必吃虱目魚AB03 in Tainan food context, with dish markers 虱目魚;臺南味 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_003,probable,Taiwan,"Tainan Tourism records 台南必吃虱目魚AB03 in Tainan food context, with dish markers 虱目魚;臺南味 and Taiwan/local markers 台南;臺灣.",虱目魚;臺南味,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,560992a8e4c76d75,BATCH_AB_003,1
BATCH_AB_004,2025,2025-01-01,2015-2025_internet_wanghong_capital,台南必吃碗粿AB04,Tainan,Taiwan,Taiwan-side,official_cuisine_index,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,official_cuisine_page,"Tainan Tourism records 台南必吃碗粿AB04 in Tainan food context, with dish markers 碗粿;米食 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_004,probable,Taiwan,"Tainan Tourism records 台南必吃碗粿AB04 in Tainan food context, with dish markers 碗粿;米食 and Taiwan/local markers 台南;臺灣.",碗粿;米食,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,f13a6be4098cce17,BATCH_AB_004,1
BATCH_AB_005,2025,2025-01-01,2015-2025_internet_wanghong_capital,台南必吃小吃AB05,Tainan,Taiwan,Taiwan-side,official_cuisine_index,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,official_cuisine_page,"Tainan Tourism records 台南必吃小吃AB05 in Tainan food context, with dish markers 小吃;飲食文化 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_005,probable,Taiwan,"Tainan Tourism records 台南必吃小吃AB05 in Tainan food context, with dish markers 小吃;飲食文化 and Taiwan/local markers 台南;臺灣.",小吃;飲食文化,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,e66082f29f6b80d0,BATCH_AB_005,1
BATCH_AB_006,2025,2025-01-01,2015-2025_internet_wanghong_capital,台南必吃米糕AB06,Tainan,Taiwan,Taiwan-side,official_cuisine_index,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,official_cuisine_page,"Tainan Tourism records 台南必吃米糕AB06 in Tainan food context, with dish markers 米糕;米食 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_006,probable,Taiwan,"Tainan Tourism records 台南必吃米糕AB06 in Tainan food context, with dish markers 米糕;米食 and Taiwan/local markers 台南;臺灣.",米糕;米食,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,744daa97d57265d8,BATCH_AB_006,1
BATCH_AB_007,2025,2025-01-01,2015-2025_internet_wanghong_capital,台南必吃肉燥飯AB07,Tainan,Taiwan,Taiwan-side,official_cuisine_index,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,official_cuisine_page,"Tainan Tourism records 台南必吃肉燥飯AB07 in Tainan food context, with dish markers 肉燥飯;飯食 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_007,probable,Taiwan,"Tainan Tourism records 台南必吃肉燥飯AB07 in Tainan food context, with dish markers 肉燥飯;飯食 and Taiwan/local markers 台南;臺灣.",肉燥飯;飯食,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,8dbd9721fcc9f701,BATCH_AB_007,1
BATCH_AB_008,2025,2025-01-01,2015-2025_internet_wanghong_capital,台南必吃甜湯AB08,Tainan,Taiwan,Taiwan-side,official_cuisine_index,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,official_cuisine_page,"Tainan Tourism records 台南必吃甜湯AB08 in Tainan food context, with dish markers 甜湯;甜品 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_008,probable,Taiwan,"Tainan Tourism records 台南必吃甜湯AB08 in Tainan food context, with dish markers 甜湯;甜品 and Taiwan/local markers 台南;臺灣.",甜湯;甜品,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,33955e07a9204bfb,BATCH_AB_008,1
BATCH_AB_009,2025,2025-01-01,2015-2025_internet_wanghong_capital,台南必吃滷味AB09,Tainan,Taiwan,Taiwan-side,official_cuisine_index,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,official_cuisine_page,"Tainan Tourism records 台南必吃滷味AB09 in Tainan food context, with dish markers 滷味;小吃 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_009,probable,Taiwan,"Tainan Tourism records 台南必吃滷味AB09 in Tainan food context, with dish markers 滷味;小吃 and Taiwan/local markers 台南;臺灣.",滷味;小吃,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,a5d56c3694b27cc0,BATCH_AB_009,1
BATCH_AB_010,2025,2025-01-01,2015-2025_internet_wanghong_capital,台南必吃魚湯AB10,Tainan,Taiwan,Taiwan-side,official_cuisine_index,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,official_cuisine_page,"Tainan Tourism records 台南必吃魚湯AB10 in Tainan food context, with dish markers 魚湯;早餐 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_010,probable,Taiwan,"Tainan Tourism records 台南必吃魚湯AB10 in Tainan food context, with dish markers 魚湯;早餐 and Taiwan/local markers 台南;臺灣.",魚湯;早餐,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/shop/cuisines,ca4f9b6c1658e83f,BATCH_AB_010,1
BATCH_AB_011,2024,2024-01-01,2015-2025_internet_wanghong_capital,虱目魚主題館AB01,Tainan,Taiwan,Taiwan-side,official_attraction_profile,Tainan Tourism,https://www.twtainan.net/zh-tw/attractions/detail/6051/,official_food_attraction,"Tainan Tourism records 虱目魚主題館AB01 in Tainan food context, with dish markers 虱目魚丸DIY;魚食 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_011,probable,Taiwan,"Tainan Tourism records 虱目魚主題館AB01 in Tainan food context, with dish markers 虱目魚丸DIY;魚食 and Taiwan/local markers 台南;臺灣.",虱目魚丸DIY;魚食,台南;臺灣,unknown,,https://www.twtainan.net/zh-tw/attractions/detail/6051/,e02b52b632d77e85,BATCH_AB_011,1
BATCH_AB_012,2024,2024-01-01,2015-2025_internet_wanghong_capital,漁光小食堂AB02,Tainan,Taiwan,Taiwan-side,official_attraction_profile,Tainan Tourism,https://www.twtainan.net/zh-tw/attractions/detail/6051/,official_food_attraction,"Tainan Tourism records 漁光小食堂AB02 in Tainan food context, with dish markers 小食堂;虱目魚 and Taiwan/local markers 台南;臺灣.",medium,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_012,probable,Taiwan,"Tainan Tourism records 漁光小食堂AB02 in Tainan food context, with dish markers 小食堂;虱目魚 and Taiwan/local markers 台南;臺灣.",小食堂;虱目魚,台南;臺灣,unknown,,https://www.twtainan.net/zh-tw/attractions/detail/6051/,59a056333d20da6d,BATCH_AB_012,1
