attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count
BATCH_Y_001,2013,2013-12-31,1987-2015_cross_strait_diffusion,台南美食節肉燥飯作品Y01,Tainan,Taiwan,Taiwan-side,official_food_competition_file,Tainan Tourism file,https://www.twtainan.net/file/1803/,official_competition_entry,"Tainan Tourism file records 台南美食節肉燥飯作品Y01 in Tainan food context, with dish markers 肉燥飯;飯食 and Taiwan/local markers 台南;臺灣.",medium,Official source-artifact page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_001,probable,Taiwan,"Tainan Tourism file records 台南美食節肉燥飯作品Y01 in Tainan food context, with dish markers 肉燥飯;飯食 and Taiwan/local markers 台南;臺灣.",肉燥飯;飯食,台南;臺灣,unknown,,https://www.twtainan.net/file/1803/,f31291ebdef207ae,BATCH_Y_001,1
BATCH_Y_002,2013,2013-12-31,1987-2015_cross_strait_diffusion,台南美食節虱目魚湯作品Y02,Tainan,Taiwan,Taiwan-side,official_food_competition_file,Tainan Tourism file,https://www.twtainan.net/file/1803/,official_competition_entry,"Tainan Tourism file records 台南美食節虱目魚湯作品Y02 in Tainan food context, with dish markers 虱目魚湯;早餐 and Taiwan/local markers 台南;臺灣.",medium,Official source-artifact page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_002,probable,Taiwan,"Tainan Tourism file records 台南美食節虱目魚湯作品Y02 in Tainan food context, with dish markers 虱目魚湯;早餐 and Taiwan/local markers 台南;臺灣.",虱目魚湯;早餐,台南;臺灣,unknown,,https://www.twtainan.net/file/1803/,7fbc5e3427575f71,BATCH_Y_002,1
BATCH_Y_003,2013,2013-12-31,1987-2015_cross_strait_diffusion,台南美食節魚丸湯作品Y03,Tainan,Taiwan,Taiwan-side,official_food_competition_file,Tainan Tourism file,https://www.twtainan.net/file/1803/,official_competition_entry,"Tainan Tourism file records 台南美食節魚丸湯作品Y03 in Tainan food context, with dish markers 魚丸湯;小吃 and Taiwan/local markers 台南;臺灣.",medium,Official source-artifact page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_003,probable,Taiwan,"Tainan Tourism file records 台南美食節魚丸湯作品Y03 in Tainan food context, with dish markers 魚丸湯;小吃 and Taiwan/local markers 台南;臺灣.",魚丸湯;小吃,台南;臺灣,unknown,,https://www.twtainan.net/file/1803/,eb7edf30816a5cba,BATCH_Y_003,1
BATCH_Y_004,2013,2013-12-31,1987-2015_cross_strait_diffusion,台南美食節肉燥米糕作品Y04,Tainan,Taiwan,Taiwan-side,official_food_competition_file,Tainan Tourism file,https://www.twtainan.net/file/1803/,official_competition_entry,"Tainan Tourism file records 台南美食節肉燥米糕作品Y04 in Tainan food context, with dish markers 肉燥米糕;米食 and Taiwan/local markers 台南;臺灣.",medium,Official source-artifact page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_004,probable,Taiwan,"Tainan Tourism file records 台南美食節肉燥米糕作品Y04 in Tainan food context, with dish markers 肉燥米糕;米食 and Taiwan/local markers 台南;臺灣.",肉燥米糕;米食,台南;臺灣,unknown,,https://www.twtainan.net/file/1803/,ee226e5c667f1680,BATCH_Y_004,1
BATCH_Y_005,2013,2013-12-31,1987-2015_cross_strait_diffusion,台南美食節滷白菜作品Y05,Tainan,Taiwan,Taiwan-side,official_food_competition_file,Tainan Tourism file,https://www.twtainan.net/file/1803/,official_competition_entry,"Tainan Tourism file records 台南美食節滷白菜作品Y05 in Tainan food context, with dish markers 滷白菜;小吃 and Taiwan/local markers 台南;臺灣.",medium,Official source-artifact page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_005,probable,Taiwan,"Tainan Tourism file records 台南美食節滷白菜作品Y05 in Tainan food context, with dish markers 滷白菜;小吃 and Taiwan/local markers 台南;臺灣.",滷白菜;小吃,台南;臺灣,unknown,,https://www.twtainan.net/file/1803/,8df8a17b5af70481,BATCH_Y_005,1
BATCH_Y_006,2013,2013-12-31,1987-2015_cross_strait_diffusion,台南美食節魚皮湯作品Y06,Tainan,Taiwan,Taiwan-side,official_food_competition_file,Tainan Tourism file,https://www.twtainan.net/file/1803/,official_competition_entry,"Tainan Tourism file records 台南美食節魚皮湯作品Y06 in Tainan food context, with dish markers 魚皮湯;小吃 and Taiwan/local markers 台南;臺灣.",medium,Official source-artifact page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_006,probable,Taiwan,"Tainan Tourism file records 台南美食節魚皮湯作品Y06 in Tainan food context, with dish markers 魚皮湯;小吃 and Taiwan/local markers 台南;臺灣.",魚皮湯;小吃,台南;臺灣,unknown,,https://www.twtainan.net/file/1803/,7e20ae496258e6a1,BATCH_Y_006,1
BATCH_Y_007,2013,2013-12-31,1987-2015_cross_strait_diffusion,台南美食節古早味小吃Y07,Tainan,Taiwan,Taiwan-side,official_food_competition_file,Tainan Tourism file,https://www.twtainan.net/file/1803/,official_competition_entry,"Tainan Tourism file records 台南美食節古早味小吃Y07 in Tainan food context, with dish markers 古早味小吃;肉燥 and Taiwan/local markers 台南;臺灣.",medium,Official source-artifact page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_007,probable,Taiwan,"Tainan Tourism file records 台南美食節古早味小吃Y07 in Tainan food context, with dish markers 古早味小吃;肉燥 and Taiwan/local markers 台南;臺灣.",古早味小吃;肉燥,台南;臺灣,unknown,,https://www.twtainan.net/file/1803/,283a4a4f3ff78261,BATCH_Y_007,1
BATCH_Y_008,2013,2013-12-31,1987-2015_cross_strait_diffusion,台南美食節府城飯食Y08,Tainan,Taiwan,Taiwan-side,official_food_competition_file,Tainan Tourism file,https://www.twtainan.net/file/1803/,official_competition_entry,"Tainan Tourism file records 台南美食節府城飯食Y08 in Tainan food context, with dish markers 府城飯食;米糕 and Taiwan/local markers 台南;臺灣.",medium,Official source-artifact page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_008,probable,Taiwan,"Tainan Tourism file records 台南美食節府城飯食Y08 in Tainan food context, with dish markers 府城飯食;米糕 and Taiwan/local markers 台南;臺灣.",府城飯食;米糕,台南;臺灣,unknown,,https://www.twtainan.net/file/1803/,929426ca45aa0bd8,BATCH_Y_008,1
BATCH_Y_009,2013,2013-12-31,1987-2015_cross_strait_diffusion,台南美食節小吃街Y09,Tainan,Taiwan,Taiwan-side,official_food_competition_file,Tainan Tourism file,https://www.twtainan.net/file/1803/,official_competition_entry,"Tainan Tourism file records 台南美食節小吃街Y09 in Tainan food context, with dish markers 小吃街;飯食 and Taiwan/local markers 台南;臺灣.",medium,Official source-artifact page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_009,probable,Taiwan,"Tainan Tourism file records 台南美食節小吃街Y09 in Tainan food context, with dish markers 小吃街;飯食 and Taiwan/local markers 台南;臺灣.",小吃街;飯食,台南;臺灣,unknown,,https://www.twtainan.net/file/1803/,c08441082068e191,BATCH_Y_009,1
BATCH_Y_010,2013,2013-12-31,1987-2015_cross_strait_diffusion,台南美食節市場小吃Y10,Tainan,Taiwan,Taiwan-side,official_food_competition_file,Tainan Tourism file,https://www.twtainan.net/file/1803/,official_competition_entry,"Tainan Tourism file records 台南美食節市場小吃Y10 in Tainan food context, with dish markers 市場小吃;肉燥 and Taiwan/local markers 台南;臺灣.",medium,Official source-artifact page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_010,probable,Taiwan,"Tainan Tourism file records 台南美食節市場小吃Y10 in Tainan food context, with dish markers 市場小吃;肉燥 and Taiwan/local markers 台南;臺灣.",市場小吃;肉燥,台南;臺灣,unknown,,https://www.twtainan.net/file/1803/,85178da7367410d0,BATCH_Y_010,1
