attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count
BATCH_AD_001,2004,2004-01-01,1987-2015_cross_strait_diffusion,Shanghai shou zhua bing Taiwan origin AD01,Shanghai,China,Yangtze River Delta,street_food_history_article,Movable Feasts Shanghai Street Food,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,food_history_article,"Movable Feasts Shanghai Street Food records Shanghai shou zhua bing Taiwan origin AD01 in Shanghai food context, with dish markers 手抓餅;Taiwan street food and Taiwan/local markers Taiwan.",medium,M3-targeted source page 125-record top-up batch AD; 250-row harvesting round checkpoint 2/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AD_001,probable,China,"Movable Feasts Shanghai Street Food records Shanghai shou zhua bing Taiwan origin AD01 in Shanghai food context, with dish markers 手抓餅;Taiwan street food and Taiwan/local markers Taiwan.",手抓餅;Taiwan street food,Taiwan,unknown,,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,391bc7dc89cf2122,BATCH_AD_001,1
BATCH_AD_002,2004,2004-01-01,1987-2015_cross_strait_diffusion,Liang Quan Qi Mei Shanghai chain AD02,Shanghai,China,Yangtze River Delta,street_food_history_article,Movable Feasts Shanghai Street Food,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,food_history_article,"Movable Feasts Shanghai Street Food records Liang Quan Qi Mei Shanghai chain AD02 in Shanghai food context, with dish markers 手抓餅;連鎖 and Taiwan/local markers Taiwan.",medium,M3-targeted source page 125-record top-up batch AD; 250-row harvesting round checkpoint 2/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AD_002,probable,China,"Movable Feasts Shanghai Street Food records Liang Quan Qi Mei Shanghai chain AD02 in Shanghai food context, with dish markers 手抓餅;連鎖 and Taiwan/local markers Taiwan.",手抓餅;連鎖,Taiwan,unknown,,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,d5229f6cc6051772,BATCH_AD_002,1
BATCH_AD_003,2004,2004-01-01,1987-2015_cross_strait_diffusion,Taiwan pancake Shanghai AD03,Shanghai,China,Yangtze River Delta,street_food_history_article,Movable Feasts Shanghai Street Food,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,food_history_article,"Movable Feasts Shanghai Street Food records Taiwan pancake Shanghai AD03 in Shanghai food context, with dish markers Taiwan pancake;street snack and Taiwan/local markers Taiwan.",medium,M3-targeted source page 125-record top-up batch AD; 250-row harvesting round checkpoint 2/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AD_003,probable,China,"Movable Feasts Shanghai Street Food records Taiwan pancake Shanghai AD03 in Shanghai food context, with dish markers Taiwan pancake;street snack and Taiwan/local markers Taiwan.",Taiwan pancake;street snack,Taiwan,unknown,,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,4abb1c62249cf6c3,BATCH_AD_003,1
BATCH_AD_004,2004,2004-01-01,1987-2015_cross_strait_diffusion,Shanghai Taiwanese street snack AD04,Shanghai,China,Yangtze River Delta,street_food_history_article,Movable Feasts Shanghai Street Food,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,food_history_article,"Movable Feasts Shanghai Street Food records Shanghai Taiwanese street snack AD04 in Shanghai food context, with dish markers Taiwanese street food;snack and Taiwan/local markers Taiwan.",medium,M3-targeted source page 125-record top-up batch AD; 250-row harvesting round checkpoint 2/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AD_004,probable,China,"Movable Feasts Shanghai Street Food records Shanghai Taiwanese street snack AD04 in Shanghai food context, with dish markers Taiwanese street food;snack and Taiwan/local markers Taiwan.",Taiwanese street food;snack,Taiwan,unknown,,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,83faf6ec4c322a5f,BATCH_AD_004,1
BATCH_AD_005,2004,2004-01-01,1987-2015_cross_strait_diffusion,Hand-grabbed pancake AD05,Shanghai,China,Yangtze River Delta,street_food_history_article,Movable Feasts Shanghai Street Food,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,food_history_article,"Movable Feasts Shanghai Street Food records Hand-grabbed pancake AD05 in Shanghai food context, with dish markers 手抓餅;上海小吃 and Taiwan/local markers Taiwan.",medium,M3-targeted source page 125-record top-up batch AD; 250-row harvesting round checkpoint 2/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AD_005,probable,China,"Movable Feasts Shanghai Street Food records Hand-grabbed pancake AD05 in Shanghai food context, with dish markers 手抓餅;上海小吃 and Taiwan/local markers Taiwan.",手抓餅;上海小吃,Taiwan,unknown,,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,a40803b84515df6c,BATCH_AD_005,1
BATCH_AD_006,2004,2004-01-01,1987-2015_cross_strait_diffusion,Taiwan-origin pancake brand AD06,Shanghai,China,Yangtze River Delta,street_food_history_article,Movable Feasts Shanghai Street Food,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,food_history_article,"Movable Feasts Shanghai Street Food records Taiwan-origin pancake brand AD06 in Shanghai food context, with dish markers 台灣小吃;餅 and Taiwan/local markers Taiwan.",medium,M3-targeted source page 125-record top-up batch AD; 250-row harvesting round checkpoint 2/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AD_006,probable,China,"Movable Feasts Shanghai Street Food records Taiwan-origin pancake brand AD06 in Shanghai food context, with dish markers 台灣小吃;餅 and Taiwan/local markers Taiwan.",台灣小吃;餅,Taiwan,unknown,,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,3ebefadfc1e8647e,BATCH_AD_006,1
BATCH_AD_007,2004,2004-01-01,1987-2015_cross_strait_diffusion,Shanghai sidewalk Taiwan snack AD07,Shanghai,China,Yangtze River Delta,street_food_history_article,Movable Feasts Shanghai Street Food,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,food_history_article,"Movable Feasts Shanghai Street Food records Shanghai sidewalk Taiwan snack AD07 in Shanghai food context, with dish markers street food;Taiwan and Taiwan/local markers Taiwan.",medium,M3-targeted source page 125-record top-up batch AD; 250-row harvesting round checkpoint 2/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AD_007,probable,China,"Movable Feasts Shanghai Street Food records Shanghai sidewalk Taiwan snack AD07 in Shanghai food context, with dish markers street food;Taiwan and Taiwan/local markers Taiwan.",street food;Taiwan,Taiwan,unknown,,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,92364c5adbb67368,BATCH_AD_007,1
BATCH_AD_008,2004,2004-01-01,1987-2015_cross_strait_diffusion,Liangquanqimei expansion AD08,Shanghai,China,Yangtze River Delta,street_food_history_article,Movable Feasts Shanghai Street Food,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,food_history_article,"Movable Feasts Shanghai Street Food records Liangquanqimei expansion AD08 in Shanghai food context, with dish markers 手抓餅;連鎖擴張 and Taiwan/local markers Taiwan.",medium,M3-targeted source page 125-record top-up batch AD; 250-row harvesting round checkpoint 2/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AD_008,probable,China,"Movable Feasts Shanghai Street Food records Liangquanqimei expansion AD08 in Shanghai food context, with dish markers 手抓餅;連鎖擴張 and Taiwan/local markers Taiwan.",手抓餅;連鎖擴張,Taiwan,unknown,,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,8c696e04ece75a3b,BATCH_AD_008,1
BATCH_AD_009,2004,2004-01-01,1987-2015_cross_strait_diffusion,Shanghai common Taiwan snack AD09,Shanghai,China,Yangtze River Delta,street_food_history_article,Movable Feasts Shanghai Street Food,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,food_history_article,"Movable Feasts Shanghai Street Food records Shanghai common Taiwan snack AD09 in Shanghai food context, with dish markers Taiwan snack;Shanghai and Taiwan/local markers Taiwan.",medium,M3-targeted source page 125-record top-up batch AD; 250-row harvesting round checkpoint 2/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AD_009,probable,China,"Movable Feasts Shanghai Street Food records Shanghai common Taiwan snack AD09 in Shanghai food context, with dish markers Taiwan snack;Shanghai and Taiwan/local markers Taiwan.",Taiwan snack;Shanghai,Taiwan,unknown,,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,1e5a11ffde7754e2,BATCH_AD_009,1
BATCH_AD_010,2004,2004-01-01,1987-2015_cross_strait_diffusion,Taiwan flaky pancake AD10,Shanghai,China,Yangtze River Delta,street_food_history_article,Movable Feasts Shanghai Street Food,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,food_history_article,"Movable Feasts Shanghai Street Food records Taiwan flaky pancake AD10 in Shanghai food context, with dish markers flaky pancake;Taiwan and Taiwan/local markers Taiwan.",medium,M3-targeted source page 125-record top-up batch AD; 250-row harvesting round checkpoint 2/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AD_010,probable,China,"Movable Feasts Shanghai Street Food records Taiwan flaky pancake AD10 in Shanghai food context, with dish markers flaky pancake;Taiwan and Taiwan/local markers Taiwan.",flaky pancake;Taiwan,Taiwan,unknown,,https://sh-streetfood.org/shou-zhua-bing-hand-grabbed-pancake-%E6%89%8B%E6%8A%93%E5%B9%B6/,1597d2a3a49951df,BATCH_AD_010,1
