attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count
BATCH_U_001,1985,1985-10-01,1946-1987_taiwan_side_formation,Sin Leong Restaurant Taiwan Porridge introduction,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19851001-1,newspaper_ad,Straits Times page advertises Sin Leong Restaurant Marine Parade introducing Taiwan Porridge with mini dishes and economical lunch.,high,NewspaperSG dated issue page; one restaurant/ad artifact. Fifty-record top-up batch U; 200-row harvesting round checkpoint 3/4; source/date/brand key screened; not marker-split.,SRC_BATCH_U_001,probable,Singapore,Straits Times page advertises Sin Leong Restaurant Marine Parade introducing Taiwan Porridge with mini dishes and economical lunch.,Taiwan Porridge;mini dishes,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19851001-1,50485cf31c21ed1c,BATCH_U_001,1
BATCH_U_002,1980,1980-01-01,1946-1987_taiwan_side_formation,阿三仔冰店 official founding page,Tainan,Taiwan,Taiwan-side,official_tourism_profile,Tainan Tourism,https://www.twtainan.net/zh-tw/shop/consume/8172/,official_shop_profile,Tainan Tourism profile states Asanzi ice shop was founded in 1980 and lists old-style shaved-ice ingredients.,medium,Official tourism profile with exact founding year. Fifty-record top-up batch U; 200-row harvesting round checkpoint 3/4; source/date/brand key screened; not marker-split.,SRC_BATCH_U_002,probable,Taiwan,Tainan Tourism profile states Asanzi ice shop was founded in 1980 and lists old-style shaved-ice ingredients.,剉冰;愛玉;麵茶,台南;臺灣,unknown,,https://www.twtainan.net/zh-tw/shop/consume/8172/,b4a214355ee41053,BATCH_U_002,1
BATCH_U_003,1969,1969-01-01,1946-1987_taiwan_side_formation,味新餅舖 official founding page,Tainan,Taiwan,Taiwan-side,official_tourism_profile,Tainan Tourism,https://www.twtainan.net/zh-tw/shop/consume/1962/,official_shop_profile,Tainan Tourism profile states Weixin bakery was founded in 1969 and sells lu-rou bean-paste pastry and traditional cakes.,medium,Official tourism profile with exact founding year. Fifty-record top-up batch U; 200-row harvesting round checkpoint 3/4; source/date/brand key screened; not marker-split.,SRC_BATCH_U_003,probable,Taiwan,Tainan Tourism profile states Weixin bakery was founded in 1969 and sells lu-rou bean-paste pastry and traditional cakes.,魯肉豆沙;冬瓜肉餅,台南;臺灣,unknown,,https://www.twtainan.net/zh-tw/shop/consume/1962/,e966579df14b2dd2,BATCH_U_003,1
BATCH_U_004,1981,1981-01-01,1946-1987_taiwan_side_formation,天心岩蔬食 official founding page,Tainan,Taiwan,Taiwan-side,official_tourism_profile,Tainan Tourism,https://www.twtainan.net/zh-tw/shop/consume/8451/,official_shop_profile,Tainan Tourism profile states Tianxinyan vegetarian restaurant was founded in 1981 and developed local vegetarian dining.,medium,Official tourism profile with exact founding year. Fifty-record top-up batch U; 200-row harvesting round checkpoint 3/4; source/date/brand key screened; not marker-split.,SRC_BATCH_U_004,probable,Taiwan,Tainan Tourism profile states Tianxinyan vegetarian restaurant was founded in 1981 and developed local vegetarian dining.,素食;壽司;合菜,台南;臺灣,unknown,,https://www.twtainan.net/zh-tw/shop/consume/8451/,1dad0477cd170b9b,BATCH_U_004,1
BATCH_U_005,1952,1952-01-01,1946-1987_taiwan_side_formation,甘單手作冰菓湯圓 official festival page,Tainan,Taiwan,Taiwan-side,official_event_page,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/event/newsdetail/4342,official_food_feature,Tainan Tourism Lantern Festival page states Gandan handmade ice/tangyuan shop was founded in 1952.,medium,Official event page with exact founding year. Fifty-record top-up batch U; 200-row harvesting round checkpoint 3/4; source/date/brand key screened; not marker-split.,SRC_BATCH_U_005,probable,Taiwan,Tainan Tourism Lantern Festival page states Gandan handmade ice/tangyuan shop was founded in 1952.,湯圓;剉冰;甜湯,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/event/newsdetail/4342,a23378ebd05b88e1,BATCH_U_005,1
BATCH_U_006,1946,1946-01-01,1946-1987_taiwan_side_formation,莊子土豆仁湯 official festival page,Tainan,Taiwan,Taiwan-side,official_event_page,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/event/newsdetail/4342,official_food_feature,Tainan Tourism Lantern Festival page states Zhuangzi peanut soup was founded in 1946 and serves red-bean soup and tangyuan.,medium,Official event page; independent corroboration from existing shop page. Fifty-record top-up batch U; 200-row harvesting round checkpoint 3/4; source/date/brand key screened; not marker-split.,SRC_BATCH_U_006,probable,Taiwan,Tainan Tourism Lantern Festival page states Zhuangzi peanut soup was founded in 1946 and serves red-bean soup and tangyuan.,土豆仁湯;紅豆湯;湯圓,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/event/newsdetail/4342,3bf5f59380c44b4d,BATCH_U_006,1
BATCH_U_007,1959,1959-01-01,1946-1987_taiwan_side_formation,村伯菜粽 official Dragon Boat page,Tainan,Taiwan,Taiwan-side,official_event_page,Tainan Tourism,https://www.twtainan.net/zh-tw/event/newsdetail/4452/,official_food_feature,Tainan Tourism Dragon Boat page states Cunbo vegetable rice dumpling was founded in ROC year 48 and serves菜粽 with miso soup.,medium,Official event page with exact ROC founding year converted to 1959. Fifty-record top-up batch U; 200-row harvesting round checkpoint 3/4; source/date/brand key screened; not marker-split.,SRC_BATCH_U_007,probable,Taiwan,Tainan Tourism Dragon Boat page states Cunbo vegetable rice dumpling was founded in ROC year 48 and serves菜粽 with miso soup.,菜粽;味噌湯,台南;臺灣,unknown,,https://www.twtainan.net/zh-tw/event/newsdetail/4452/,602ae4b8d7e4cdd4,BATCH_U_007,1
BATCH_U_008,1931,1931-01-01,1940-1945_late_colonial_food_order,黃火木舊台味冰店崇德店 official page,Tainan,Taiwan,Taiwan-side,official_tourism_profile,Tainan Tourism,https://www.twtainan.net/zh-tw/shop/consume/8927/,official_shop_profile,Tainan Tourism profile states the Jiangshuihao lineage was founded in ROC year 20 and the Haian shop later became Huang Huomu old-Taiwan-flavor ice shop.,medium,Official tourism profile; pre-1946 lineage row. Fifty-record top-up batch U; 200-row harvesting round checkpoint 3/4; source/date/brand key screened; not marker-split.,SRC_BATCH_U_008,probable,Taiwan,Tainan Tourism profile states the Jiangshuihao lineage was founded in ROC year 20 and the Haian shop later became Huang Huomu old-Taiwan-flavor ice shop.,芋頭冰;布丁牛奶冰,台南;臺灣,unknown,,https://www.twtainan.net/zh-tw/shop/consume/8927/,80d34c93f223961d,BATCH_U_008,1
BATCH_U_009,1931,1931-01-01,1940-1945_late_colonial_food_order,江水號 Lantern Festival corroboration,Tainan,Taiwan,Taiwan-side,official_event_page,Tainan Tourism,https://www.twtainan.net/only-for-member/zh-tw/event/newsdetail/4342,official_food_feature,Tainan Tourism Lantern Festival page states Jiangshuihao was founded in ROC year 20 and serves red-bean soup and eight-treasure ice.,medium,Official event page; pre-1946 corroborating artifact. Fifty-record top-up batch U; 200-row harvesting round checkpoint 3/4; source/date/brand key screened; not marker-split.,SRC_BATCH_U_009,probable,Taiwan,Tainan Tourism Lantern Festival page states Jiangshuihao was founded in ROC year 20 and serves red-bean soup and eight-treasure ice.,八寶冰;紅豆湯;湯圓,台南;臺灣,unknown,,https://www.twtainan.net/only-for-member/zh-tw/event/newsdetail/4342,5d3b463bfbe444a9,BATCH_U_009,1
BATCH_U_010,1954,1954-01-01,1946-1987_taiwan_side_formation,金得春捲 third-party exact founding page,Tainan,Taiwan,Taiwan-side,travel_food_article,Tainan Good Food Tour,https://itainan.com.tw/kintoku/,food_history_article,Tainan food article states Jinde spring roll was founded in ROC year 43 and later named for founder Li Jinde.,medium,"Specialized food article with exact ROC year; not official but source is specific, retained as probable. Fifty-record top-up batch U; 200-row harvesting round checkpoint 3/4; source/date/brand key screened; not marker-split.",SRC_BATCH_U_010,probable,Taiwan,Tainan food article states Jinde spring roll was founded in ROC year 43 and later named for founder Li Jinde.,春捲;潤餅,台南;臺灣,unknown,,https://itainan.com.tw/kintoku/,471ad0c5720c5135,BATCH_U_010,1
