attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref
TW_1947_001,1947,1947-01-01,1946-1987_taiwan_side_formation,祖師廟原汁排骨大王,Taipei,Taiwan,Taiwan-side,food_media_retrospective,Kao Foodie / Taipei market PDF,https://www.foodie-kao.com/%E7%A5%96%E5%B8%AB%E5%BB%9F%E5%8E%9F%E6%B1%81%E6%8E%92%E9%AA%A8%E5%A4%A7%E7%8E%8B-%E8%89%8B%E8%88%BA%E8%80%81%E5%AD%97%E8%99%9F-%E4%B8%BB%E6%89%93%E9%AA%A8%E8%82%89%E5%88%86%E9%9B%A2%E8%82%89/,old_shop_origin,1947 Wanhua old shop guazi rouzao rice pork rib soup Taiwan traditional small food,medium,Search-visible source and Taipei PDF both associate the shop with 1947 and guazi rouzao rice; needs direct archive corroboration.,TW_ZUSHIMIAO_1947,probable,Taiwan-side,Source describes a Wanhua old shop founded in 1947 with guazi rouzao rice and pork-rib soup.,瓜仔肉燥飯,台北萬華小吃,,,https://www.foodie-kao.com/%E7%A5%96%E5%B8%AB%E5%BB%9F%E5%8E%9F%E6%B1%81%E6%8E%92%E9%AA%A8%E5%A4%A7%E7%8E%8B-%E8%89%8B%E8%88%BA%E8%80%81%E5%AD%97%E8%99%9F-%E4%B8%BB%E6%89%93%E9%AA%A8%E8%82%89%E5%88%86%E9%9B%A2%E8%82%89/
TW_1952_001,1952,1952-01-01,1946-1987_taiwan_side_formation,橋仔頭黃家肉燥飯,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel,https://khh.travel/en/shop/gourmet/1171/,old_shop_origin,1952 Qiaotou First Public Market braised minced pork rice third generation grandfather recipe,high,Official Kaohsiung tourism page gives explicit establishment year and market location.,TW_QIAOTOU_HUANG_1952_ORIGIN,probable,Taiwan-side,Kaohsiung Travel says the restaurant was established in 1952 at Qiaotou First Public Market and is now third-generation.,肉燥飯,高雄橋頭市場小吃,,,https://khh.travel/en/shop/gourmet/1171/
TW_1952_002,1952,1952-01-01,1946-1987_taiwan_side_formation,橋仔頭黃家肉燥飯,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel,https://khh.travel/en/shop/gourmet/1171/,recipe_lineage,1952 grandfather traditional meat thick soup mother Zhuangyuan braised pork rice second generation,high,Same source supplies intergenerational menu lineage useful for semantic coding.,TW_QIAOTOU_HUANG_1952_LINEAGE,probable,Taiwan-side,Source links first-generation meat soup and second-generation Zhuangyuan braised pork rice as a family recipe sequence.,肉燥飯,高雄橋頭市場小吃,,,https://khh.travel/en/shop/gourmet/1171/
TW_1952_003,1952,1952-01-01,1946-1987_taiwan_side_formation,橋仔頭黃家肉燥飯,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel,https://khh.travel/en/shop/gourmet/1171/,ingredient_semantics,braised minced pork locally sourced warm meat belly scapula hind leg golden proportion,high,Useful for coding southern rouzao rice as meat-proportion and warm-pork discourse.,TW_QIAOTOU_HUANG_1952_INGREDIENT,probable,Taiwan-side,Source describes braised minced pork using local warm meat and a golden proportion of pork parts.,肉燥飯,高雄地方小吃,,,https://khh.travel/en/shop/gourmet/1171/
TW_1955_001,1955,1955-01-01,1946-1987_taiwan_side_formation,柳家肉燥飯,Hsinchu,Taiwan,Taiwan-side,platform_food_listing,FonFood,https://www.fonfood.com/store/560552,decade_origin,1950s Hsinchu Chenghuang Temple business district Liujia rouzao rice traditional snack shop,medium,Decade-coded because the source states 1950s rather than a precise year.,TW_LIUJIA_1950S,probable,Taiwan-side,FonFood listing says Liujia rouzao rice was founded in the 1950s in the Hsinchu Chenghuang Temple business district.,肉燥飯,新竹城隍廟小吃,,,https://www.fonfood.com/store/560552
TW_1959_001,1959,1959-01-01,1946-1987_taiwan_side_formation,前金肉燥飯,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel,https://khh.travel/zh-tw/shop/gourmet/1138/,old_shop_origin,1959 Qianjin rouzao rice Kaohsiung third generation signature rouzao rice,high,Official Kaohsiung tourism page gives exact date and third-generation status.,TW_QIANJIN_1959_ORIGIN,probable,Taiwan-side,Kaohsiung Travel says Qianjin rouzao rice was founded in 1959 and is now third-generation.,肉燥飯,高雄前金小吃,,,https://khh.travel/zh-tw/shop/gourmet/1138/
TW_1959_002,1959,1959-01-01,1946-1987_taiwan_side_formation,前金肉燥飯,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel,https://khh.travel/zh-tw/shop/gourmet/1138/,taste_semantics,1959 Qianjin rouzao rice pork back fat fatty not greasy duck egg fish floss local taste,high,Useful for coding southern rouzao rice sensory terms and add-on grammar.,TW_QIANJIN_1959_TASTE,probable,Taiwan-side,Source defines the shop through pork back fat meat texture duck egg and fish-floss add-ons.,肉燥飯,高雄前金小吃,,,https://khh.travel/zh-tw/shop/gourmet/1138/
TW_1960_002,1960,1960-01-01,1946-1987_taiwan_side_formation,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,municipal_accessibility_listing,Taipei Friendly Store,https://friendlystore.taipei/index.php/property/7552/tw,brand_origin_corroboration,1960 Formosa Chang roadside stall traditional food Taiwanese food culture lu rou fan restaurant,high,Corroborates official brand timeline through a Taipei municipal-facing listing.,TW_FMSC_TAIPEI_1960,probable,Taiwan-side,Taipei listing says Formosa Chang was founded in 1960 from a roadside stall and aimed to promote Taiwanese food culture.,魯肉飯,台北雙連小吃,,,https://friendlystore.taipei/index.php/property/7552/tw
TW_1960_003,1960,1960-01-01,1946-1987_taiwan_side_formation,大溝頂虱目魚米粉湯,Kaohsiung,Taiwan,Taiwan-side,platform_food_listing,FonFood,https://www.fonfood.com/store/6632226,side_menu_marker,1960 Kaohsiung Yancheng milkfish rice noodle soup old breakfast shop rouzao rice side menu,medium,Not a rouzao-rice specialist but shows rouzao rice embedded in southern breakfast shop menu ecology.,TW_DAGOUDING_1960,probable,Taiwan-side,FonFood listing says the old Kaohsiung breakfast shop was founded in 1960 and lists rouzao rice among popular items.,肉燥飯,高雄鹽埕早餐小吃,,,https://www.fonfood.com/store/6632226
TW_1964_001,1964,1964-01-01,1946-1987_taiwan_side_formation,彰化黑肉麵,Changhua,Taiwan,Taiwan-side,food_history_article,Ryori Taiwan,https://ryoritaiwan.fcdc.org.tw/columns/1151,menu_memory,1964 Changhua black meat noodles father sold minced noodles wonton lu rou fan and rouzao rice before rib rice launch,high,Article gives oral-history details from second generation and states pre-1964 lu rou fan and rouzao rice menu memory.,TW_BLACKMEAT_1964_MENU,probable,Taiwan-side,Ryori Taiwan records family testimony that the father sold qiezai noodles wontons lu rou fan and rouzao rice before formally launching rib rice in 1964.,滷肉飯;肉燥飯,彰化常民小吃,,,https://ryoritaiwan.fcdc.org.tw/columns/1151
