year,corridor,weighted_binding_index,weight_sum,row_count
1946,Taiwan-side,0.000000,3.0400,4
1947,Japan,0.660901,2.5671,3
1947,Taiwan-side,1.000000,0.7600,1
1950,Taiwan-side,0.178824,4.2500,5
1951,Japan,0.000000,0.7321,1
1951,Taiwan-side,1.000000,0.7600,1
1952,Japan,0.000000,1.3847,2
1952,Taiwan-side,1.000000,5.1594,8
1953,Taiwan-side,1.000000,1.2230,2
1954,Taiwan-side,1.000000,0.7600,1
1955,Japan,0.000000,1.3200,2
1955,North America,0.000000,0.9100,1
1955,Taiwan-side,1.000000,3.9500,5
1956,Taiwan-side,1.000000,1.6108,3
1957,Taiwan-side,0.000000,0.7600,1
1958,Taiwan-side,0.673773,6.9890,10
1959,Taiwan-side,1.000000,2.5800,3
1960,Japan,0.000000,0.6822,1
1960,Taiwan-side,0.781966,3.4857,4
1961,Taiwan-side,0.000000,1.5200,2
1962,Japan,0.000000,0.8322,1
1962,Taiwan-side,1.000000,0.7600,1
1963,Japan,0.000000,0.7600,1
1963,Taiwan-side,1.000000,3.0400,4
1964,Taiwan-side,1.000000,3.6400,4
1965,North America,0.000000,0.9100,1
1965,Taiwan-side,0.718456,8.0982,11
1966,Japan,0.000000,0.7467,1
1966,Taiwan-side,1.000000,0.9100,1
1967,Japan,0.000000,0.9100,1
1967,Taiwan-side,1.000000,1.8200,2
1968,Japan,0.000000,0.9100,1
1968,Taiwan-side,1.000000,1.4619,2
1969,Taiwan-side,1.000000,4.9794,7
1970,North America,0.000000,0.9100,1
1970,Taiwan-side,0.710814,8.9216,11
1971,Singapore,0.000000,1.0600,1
1971,Taiwan-side,1.000000,3.6060,4
1971,unknown,0.000000,1.0600,1
1972,Singapore,0.000000,0.9000,1
1972,Taiwan-side,1.000000,2.0916,3
1972,unknown,0.000000,1.7533,2
1973,Japan,0.000000,0.9100,1
1973,North America,0.000000,1.8200,2
1973,Singapore,0.000000,0.9000,1
1973,Taiwan-side,1.000000,2.0516,3
1974,North America,0.000000,0.9100,1
1974,Singapore,0.000000,1.0600,1
1975,North America,0.000000,1.8200,2
1975,Singapore,0.000000,3.2076,4
1975,Taiwan-side,1.000000,3.1900,4
1975,unknown,0.000000,1.9225,2
1976,Taiwan-side,0.000000,0.7600,1
1976,unknown,0.000000,0.8388,1
1977,Japan,0.000000,0.9100,1
1977,North America,0.000000,0.9100,1
1977,Taiwan-side,0.460664,3.0964,4
1978,North America,0.000000,0.9100,1
1978,Taiwan-side,1.000000,1.8200,2
1979,Japan,0.000000,0.9100,1
1979,Taiwan-side,1.000000,0.9100,1
1980,Japan,0.000000,1.4791,2
1980,Singapore,0.000000,3.1958,4
1980,Taiwan-side,0.782093,10.4719,12
1980,unknown,0.000000,0.7600,1
1981,Japan,0.000000,0.9100,1
1981,Taiwan-side,1.000000,2.1359,3
1982,Japan,0.000000,0.9100,1
1982,Taiwan-side,1.000000,1.6700,2
1982,unknown,0.000000,1.8964,2
1983,Taiwan-side,1.000000,0.7600,1
1984,North America,0.000000,1.4444,2
1985,North America,0.000000,0.8809,1
1985,Singapore,0.000000,4.1156,4
1985,unknown,0.000000,0.9100,1
1986,Japan,0.500000,1.8200,2
1986,North America,0.000000,1.0600,1
1986,Taiwan-side,0.606197,4.0086,5
1986,unknown,0.000000,1.0162,1
1987,Japan,0.000000,1.8200,2
1987,Mainland China,0.000000,4.2400,4
1987,North America,0.000000,2.1200,2
1987,Taiwan-side,0.479486,1.2845,2
1987,unknown,0.000000,1.0162,1
