brand_or_category,period,attestation_count,binding_rate,mean_geographic_score,mean_nostalgia_score,mean_night_market_score,mean_authenticity_score,mean_platform_fast_food_score
鬍鬚張魯肉飯,1950-1978_taiwan_side_popular_food,2,1.000000,0.039927,0.000000,0.012821,0.000000,0.000000
台北小吃魯肉飯,1950-1978_taiwan_side_popular_food,1,1.000000,0.060606,0.000000,0.060606,0.000000,0.000000
阿義魯肉飯,1950-1978_taiwan_side_popular_food,1,1.000000,0.025641,0.000000,0.025641,0.000000,0.000000
鬍鬚張魯肉飯,1979-1987_brand_formalization_and_reopening,2,1.000000,0.054233,0.000000,0.017857,0.000000,0.000000
阿才的店,1979-1987_brand_formalization_and_reopening,1,0.000000,0.096774,0.000000,0.000000,0.000000,0.000000
鬍鬚張魯肉飯,1988-2001_cross_strait_mobility,2,1.000000,0.032258,0.000000,0.000000,0.000000,0.048387
仙踪林,1988-2001_cross_strait_mobility,1,0.000000,0.058824,0.000000,0.000000,0.000000,0.058824
呷哺呷哺,1988-2001_cross_strait_mobility,1,0.000000,0.058824,0.000000,0.000000,0.000000,0.058824
一茶一坐,2002-2013_taiwan_capital_gateway,2,0.000000,0.028295,0.000000,0.000000,0.000000,0.028295
鬍鬚張魯肉飯,2002-2013_taiwan_capital_gateway,2,1.000000,0.042570,0.000000,0.013158,0.013158,0.000000
Taiwanese national cuisine,2002-2013_taiwan_capital_gateway,1,0.000000,0.100000,0.000000,0.066667,0.000000,0.000000
世博台味餐饮,2002-2013_taiwan_capital_gateway,1,1.000000,0.125000,0.000000,0.000000,0.000000,0.041667
台资餐饮企业,2002-2013_taiwan_capital_gateway,1,0.000000,0.025000,0.000000,0.000000,0.000000,0.050000
魯肉飯正名,2002-2013_taiwan_capital_gateway,1,1.000000,0.057143,0.000000,0.000000,0.000000,0.000000
上海台湾料理店卤肉饭,2014-2020_pre_wanghong_platformization,1,1.000000,0.085714,0.000000,0.000000,0.000000,0.000000
鬍鬚張魯肉飯,2014-2020_pre_wanghong_platformization,3,1.000000,0.046798,0.000000,0.000000,0.000000,0.011905
紅豬卤肉饭,2014-2020_pre_wanghong_platformization,1,1.000000,0.029412,0.029412,0.000000,0.000000,0.000000
大润发台湾风味卤肉大包,2014-2020_pre_wanghong_platformization,1,1.000000,0.065217,0.000000,0.000000,0.000000,0.000000
