period,corridor,ownership_category,attestation_count,binding_rate,mean_geographic_score,mean_nostalgia_score,mean_night_market_score,mean_authenticity_score,mean_platform_fast_food_score
1950-1978_taiwan_side_popular_food,Taiwan-side,taiwan_capital,3,1.000000,0.035165,0.000000,0.017094,0.000000,0.000000
1950-1978_taiwan_side_popular_food,Taiwan-side,unknown,1,1.000000,0.060606,0.000000,0.060606,0.000000,0.000000
1979-1987_brand_formalization_and_reopening,Taiwan-side,taiwan_capital,3,0.666667,0.068413,0.000000,0.011905,0.000000,0.000000
1988-2001_cross_strait_mobility,Taiwan-side,taiwan_capital,2,1.000000,0.032258,0.000000,0.000000,0.000000,0.048387
1988-2001_cross_strait_mobility,Yangtze River Delta,taiwan_capital,1,0.000000,0.058824,0.000000,0.000000,0.000000,0.058824
1988-2001_cross_strait_mobility,North China,taiwan_capital,1,0.000000,0.058824,0.000000,0.000000,0.000000,0.058824
2002-2013_taiwan_capital_gateway,Yangtze River Delta,taiwan_mainland_joint_venture,2,0.000000,0.028295,0.000000,0.000000,0.000000,0.028295
2002-2013_taiwan_capital_gateway,Taiwan-side,taiwan_capital,1,1.000000,0.026316,0.000000,0.026316,0.026316,0.000000
2002-2013_taiwan_capital_gateway,North China,taiwan_capital,1,1.000000,0.058824,0.000000,0.000000,0.000000,0.000000
2002-2013_taiwan_capital_gateway,Taiwan-side,unknown,2,0.500000,0.078572,0.000000,0.033334,0.000000,0.000000
2002-2013_taiwan_capital_gateway,Yangtze River Delta,mixed_event_platform,1,1.000000,0.125000,0.000000,0.000000,0.000000,0.041667
2002-2013_taiwan_capital_gateway,North China,unknown,1,0.000000,0.025000,0.000000,0.000000,0.000000,0.050000
2014-2020_pre_wanghong_platformization,Yangtze River Delta,unknown,1,1.000000,0.085714,0.000000,0.000000,0.000000,0.000000
2014-2020_pre_wanghong_platformization,Taiwan-side,taiwan_capital,3,1.000000,0.046798,0.000000,0.000000,0.000000,0.011905
2014-2020_pre_wanghong_platformization,Yangtze River Delta,mainland_taiwan_themed,1,1.000000,0.029412,0.029412,0.000000,0.000000,0.000000
2014-2020_pre_wanghong_platformization,Yangtze River Delta,mainland_or_foreign_retail_platform,1,1.000000,0.065217,0.000000,0.000000,0.000000,0.000000
