metric,value
overall_credibility_index,0.6912
overall_credibility_percent,69.12
credibility_interpretation,good
median_credibility,0.685
stdev_credibility,0.067
high_credibility_ratio,0.2929
low_credibility_ratio,0.0112
total_records,1427
component_mean_verification,0.6779
component_mean_authority,0.7685
component_mean_novelty,0.9586
component_mean_confidence,0.6852
component_mean_corroboration,0.016
credibility_bin_good,909
credibility_bin_low,16
credibility_bin_moderate,164
credibility_bin_strong,338
