figure_file,figure_name,source_script,primary_input_table,variables_or_view,interpretive_claim,recommended_placement,status
analysis/semantic_propagation_live_outputs/figures/authority_novelty_3d_surface.png,authority_novelty_3d_surface,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/authority_novelty_empirical_bins.csv,source_regime; novelty_score,Authority-novelty tradeoff; use as methodological robustness and source-bias diagnostic.,appendix_or_methods,candidate
analysis/semantic_propagation_live_outputs/figures/authority_novelty_contour.png,authority_novelty_contour,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/authority_novelty_empirical_bins.csv,source_regime; novelty_score,Authority-novelty tradeoff; use as methodological robustness and source-bias diagnostic.,appendix_or_methods,candidate
analysis/semantic_propagation_live_outputs/figures/authority_novelty_contours_by_corridor.png,authority_novelty_contours_by_corridor,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/authority_novelty_empirical_bins.csv,corridor; source_regime; novelty_score,Authority-novelty tradeoff; use as methodological robustness and source-bias diagnostic.,appendix_or_methods,candidate
analysis/semantic_propagation_live_outputs/figures/authority_novelty_empirical_heatmap.png,authority_novelty_empirical_heatmap,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/authority_novelty_empirical_bins.csv,source_regime; novelty_score,Authority-novelty tradeoff; use as methodological robustness and source-bias diagnostic.,appendix_or_methods,candidate
analysis/semantic_propagation_live_outputs/figures/change_point_candidate_map.png,change_point_candidate_map,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/change_point_candidates.csv,time,Corridor-specific source and semantic regime shifts; use to argue against a single global turning point.,main_text,candidate
analysis/semantic_propagation_live_outputs/figures/change_points_taiwan_source_structure.png,change_points_taiwan_source_structure,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/change_point_candidates.csv,time; source_regime,Taiwan-side evidence visibility changes by source structure; use to show archive/source-system change.,main_text,candidate
analysis/semantic_propagation_live_outputs/figures/violin_binding_by_corridor_period.png,violin_binding_by_corridor_period,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/violin_plot_rows.csv,corridor; binding_index,Distribution of binding by corridor and period; useful for showing saturation and uneven variance.,appendix_or_secondary,candidate
analysis/semantic_propagation_live_outputs/figures/weak_binding_share_heatmap.png,weak_binding_share_heatmap,scripts/change_point_authority_novelty_analysis.py,analysis/change_authority_novelty_outputs/binding_bucket_by_corridor_period.csv,binding_index,Where weak/no-binding cases cluster by period and corridor.,main_text_if_n_ok,candidate
analysis/semantic_propagation_live_outputs/figures/low_binding_by_reason.png,low_binding_by_reason,,,binding_index,Exploratory figure; inspect manually before using in main text.,appendix_or_drop,candidate
analysis/semantic_propagation_live_outputs/figures/low_binding_by_source_type.png,low_binding_by_source_type,,,binding_index; source_regime,Exploratory figure; inspect manually before using in main text.,appendix_or_drop,candidate
analysis/semantic_propagation_live_outputs/figures/low_binding_outliers_scatter.png,low_binding_outliers_scatter,scripts/producer_consumer_outlier_analysis.py,analysis/producer_consumer_outliers_outputs/low_binding_outliers.csv,binding_index,Concrete low-binding outliers for close reading and negative/control evidence.,appendix_or_casebook,candidate
analysis/semantic_propagation_live_outputs/figures/low_binding_time_corridor_heatmap.png,low_binding_time_corridor_heatmap,scripts/producer_consumer_outlier_analysis.py,analysis/producer_consumer_outliers_outputs/low_binding_outliers.csv,corridor; time; binding_index,"Weak-binding pockets across time and geography; use as control evidence, not noise.",main_text,candidate
analysis/semantic_propagation_live_outputs/figures/producer_consumer_flow_matrix.png,producer_consumer_flow_matrix,scripts/producer_consumer_outlier_analysis.py,analysis/producer_consumer_outliers_outputs/producer_consumer_flow.csv,producer_consumer_transfer,Producer-consumer marker transfer; only use if platform linkage and n are documented.,appendix_or_secondary,candidate
analysis/semantic_propagation_live_outputs/figures/producer_consumer_funnel.png,producer_consumer_funnel,scripts/producer_consumer_outlier_analysis.py,analysis/producer_consumer_outliers_outputs/producer_consumer_flow.csv,producer_consumer_transfer,Producer-consumer marker transfer; only use if platform linkage and n are documented.,appendix_or_secondary,candidate
analysis/semantic_propagation_live_outputs/figures/corridor_time_primary_share.png,corridor_time_primary_share,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/corridor_time_summary.csv,corridor; time,Primary-source share by corridor and time; use as evidence-quality warning figure.,appendix,candidate
analysis/semantic_propagation_live_outputs/figures/corridor_time_record_volume.png,corridor_time_record_volume,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/corridor_time_summary.csv,corridor; time,Corpus support by corridor and time; use as sample-size warning figure.,appendix,candidate
analysis/semantic_propagation_live_outputs/figures/discourse_stack_Japan.png,discourse_stack_Japan,,,manual_review_needed,Exploratory figure; inspect manually before using in main text.,appendix_or_drop,candidate
analysis/semantic_propagation_live_outputs/figures/discourse_stack_North_America.png,discourse_stack_North_America,,,manual_review_needed,Exploratory figure; inspect manually before using in main text.,appendix_or_drop,candidate
analysis/semantic_propagation_live_outputs/figures/discourse_stack_Singapore.png,discourse_stack_Singapore,,,manual_review_needed,Exploratory figure; inspect manually before using in main text.,appendix_or_drop,candidate
analysis/semantic_propagation_live_outputs/figures/discourse_stack_Taiwan_side.png,discourse_stack_Taiwan_side,,,manual_review_needed,Exploratory figure; inspect manually before using in main text.,appendix_or_drop,candidate
analysis/semantic_propagation_live_outputs/figures/discourse_stack_Yangtze_River_Delta.png,discourse_stack_Yangtze_River_Delta,,,manual_review_needed,Exploratory figure; inspect manually before using in main text.,appendix_or_drop,candidate
analysis/semantic_propagation_live_outputs/figures/first_appearance_timeline.png,first_appearance_timeline,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/semantic_first_appearance.csv,time,First observed appearances by semantic family and corridor; exploratory timing evidence.,main_text_if_n_ok,candidate
analysis/semantic_propagation_live_outputs/figures/leave_one_source_type_out.png,leave_one_source_type_out,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/leave_one_source_type_out.csv,source_regime,Sensitivity to source regimes; use to show which evidence systems inflate or suppress binding.,main_text,candidate
analysis/semantic_propagation_live_outputs/figures/low_binding_pockets.png,low_binding_pockets,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/low_binding_pockets.csv,binding_index,Largest period/corridor/source pockets where attachment is weak.,main_text_if_n_ok,candidate
analysis/semantic_propagation_live_outputs/figures/semantic_entropy_by_corridor.png,semantic_entropy_by_corridor,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/corridor_time_summary.csv,corridor; semantic_family,Semantic diversity by corridor; use to distinguish stable labels from mixed discourse.,appendix_or_secondary,candidate
analysis/semantic_propagation_live_outputs/figures/semantic_family_by_corridor.png,semantic_family_by_corridor,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/semantic_family_by_corridor.csv,corridor; semantic_family,Different corridors assemble Taiwaneseness through different semantic families.,main_text,candidate
analysis/semantic_propagation_live_outputs/figures/semantic_family_over_time.png,semantic_family_over_time,analysis/semantic_propagation_live.py,analysis/semantic_propagation_live_outputs/semantic_family_by_time.csv,time; semantic_family,Shift from dish attestation toward cuisine/platform labels over time.,main_text,candidate
analysis/semantic_propagation_live_outputs/figures/semantic_stack_Japan.png,semantic_stack_Japan,,,semantic_family,Exploratory figure; inspect manually before using in main text.,appendix_or_drop,candidate
analysis/semantic_propagation_live_outputs/figures/semantic_stack_North_America.png,semantic_stack_North_America,,,semantic_family,Exploratory figure; inspect manually before using in main text.,appendix_or_drop,candidate
analysis/semantic_propagation_live_outputs/figures/semantic_stack_Singapore.png,semantic_stack_Singapore,,,semantic_family,Exploratory figure; inspect manually before using in main text.,appendix_or_drop,candidate
analysis/semantic_propagation_live_outputs/figures/semantic_stack_Taiwan_side.png,semantic_stack_Taiwan_side,,,semantic_family,Exploratory figure; inspect manually before using in main text.,appendix_or_drop,candidate
