table_file,row_count,columns,likely_use
analysis/change_authority_novelty_outputs/analysis_summary.csv,3,analysis;change_point_rows;violin_rows;surface_rows;surface_r_squared;corridor_surfaces,supporting or audit table
analysis/change_authority_novelty_outputs/authority_novelty_by_corridor_coefficients.csv,5,corridor;rows;r_squared;intercept;authority_weight;novelty_score;authority_weight^2;authority_x_novelty;novelty_score^2,source authority and novelty sensitivity
analysis/change_authority_novelty_outputs/authority_novelty_empirical_bins.csv,18,authority_bin;novelty_bin;rows;mean_binding;mean_raw_binding;authority_mid;novelty_mid,source authority and novelty sensitivity
analysis/change_authority_novelty_outputs/authority_novelty_surface_coefficients.csv,6,term;coefficient;r_squared_full_surface,source authority and novelty sensitivity
analysis/change_authority_novelty_outputs/authority_novelty_surface_rows.csv,1965,attestation_id;corridor;period;source_type;authority_level;authority_weight;novelty_score;analysis_weight;historical_binding_raw;weighted_historical_binding,source authority and novelty sensitivity
analysis/change_authority_novelty_outputs/binding_bucket_by_corridor_period.csv,68,corridor;period_bin;binding_bucket;rows;share,supporting or audit table
analysis/change_authority_novelty_outputs/change_point_candidates.csv,75,corridor;metric;change_year;change_score;left_mean;right_mean,change-point candidate evidence
analysis/change_authority_novelty_outputs/violin_plot_rows.csv,1926,attestation_id;year;date;period;brand_or_category;city;province;corridor;source_type;source_name;source_url;attestation_type;text_for_scoring;confidence;notes;source_id;verification_level;region;original_text;dish_marker;taiwan_marker;ownership_category;capital_origin;source_url_or_archive_ref;dedupe_key;merged_from_attestation_ids;merged_row_count;novelty_score;avg_text_similarity;novelty_group_size;novelty_group_key;authority_level;authority_weight;authority_reason;capture_id;search_id;analysis_weight;historical_binding_raw;weighted_historical_binding;source_ref;is_positive;five_year_bin;decade;semantic_family;taiwan_marker_frame;discourse_frame;period_bin;binding_bucket,supporting or audit table
analysis/frozen_v2/analysis_manifest.json,1,records;year_min;year_max;source_traceability_rate;duplicate_attestation_ids;authority_distribution;corridor_distribution;period_distribution;overall_binding_index;overall_positive_rate_weighted,supporting or audit table
analysis/producer_consumer_outliers_outputs/analysis_summary.csv,2,analysis;status;data_label;plotly_html;merchant_file;review_file;merchant_rows;review_rows;matched_review_rows;marked_merchants;consumer_reproduced_reviews;total_records;threshold;outlier_records;outlier_share;reason_counts,supporting or audit table
analysis/producer_consumer_outliers_outputs/low_binding_by_reason.csv,3,outlier_reason;count,weak-binding controls and close-reading candidates
analysis/producer_consumer_outliers_outputs/low_binding_by_source_type.csv,18,source_type;count,weak-binding controls and close-reading candidates
analysis/producer_consumer_outliers_outputs/low_binding_examples_for_close_reading.csv,40,attestation_id;year;period;corridor;source_type;source_name;authority_level;brand_or_category;dish_marker;taiwan_marker;semantic_family;discourse_frame;analysis_weight;weighted_historical_binding;outlier_reason;source_ref;original_text,weak-binding controls and close-reading candidates
analysis/producer_consumer_outliers_outputs/low_binding_outliers.csv,172,attestation_id;year;period;corridor;source_type;source_name;authority_level;brand_or_category;dish_marker;taiwan_marker;semantic_family;discourse_frame;analysis_weight;weighted_historical_binding;outlier_reason;source_ref;original_text,weak-binding controls and close-reading candidates
analysis/producer_consumer_outliers_outputs/producer_consumer_classified_reviews.csv,5,merchant_id;merchant_category;review_id;city;platform;source_type;source_url;review_date;rating;review_text;capture_date;notes;review_category,producer-consumer transfer analysis
analysis/producer_consumer_outliers_outputs/producer_consumer_flow.csv,2,merchant_category;review_category;count,producer-consumer transfer analysis
analysis/producer_consumer_outliers_outputs/producer_consumer_funnel.csv,4,stage;count,producer-consumer transfer analysis
analysis/semantic_propagation_live_outputs/corridor_time_summary.csv,72,corridor;five_year_bin;row_count;weight_sum;binding_index;positive_rate_weighted;primary_share;tertiary_share;unique_sources;semantic_entropy;semantic_entropy_normalized;dominant_semantic_family;dominant_semantic_share,sample-size and source-quality gate
analysis/semantic_propagation_live_outputs/leave_one_source_type_out.csv,36,excluded_source_type;excluded_rows;excluded_share;binding_index_without_source_type;delta_from_full_index,supporting or audit table
analysis/semantic_propagation_live_outputs/low_binding_pockets.csv,30,period;corridor;row_count;weight_sum;binding_index;positive_rate_weighted;positive_rate_rows;primary_rows;secondary_rows;tertiary_rows;unique_sources;first_year;last_year;grouping;source_type;authority_level;binding_gap,weak-binding controls and close-reading candidates
analysis/semantic_propagation_live_outputs/semantic_family_by_corridor.csv,43,corridor;semantic_family;row_count;weight_sum;binding_index;positive_rate_weighted;positive_rate_rows;primary_rows;secondary_rows;tertiary_rows;unique_sources;first_year;last_year;share_within_corridor,supporting or audit table
analysis/semantic_propagation_live_outputs/semantic_family_by_time.csv,122,five_year_bin;semantic_family;row_count;weight_sum;binding_index;positive_rate_weighted;positive_rate_rows;primary_rows;secondary_rows;tertiary_rows;unique_sources;first_year;last_year;share_within_time_bin,supporting or audit table
analysis/semantic_propagation_live_outputs/semantic_first_appearance.csv,43,corridor;semantic_family;rows;first_year;first_positive_year;last_year;binding_index;positive_rate_weighted;primary_rows;unique_sources,supporting or audit table
analysis/semantic_propagation_live_outputs/semantic_propagation_cube.csv,383,period;five_year_bin;corridor;semantic_family;taiwan_marker_frame;discourse_frame;row_count;weight_sum;binding_index;positive_rate_weighted;positive_rate_rows;primary_rows;secondary_rows;tertiary_rows;unique_sources;first_year;last_year,core semantic/time/corridor cube
