year,status,count,bin_start,bin_end,bin_count
1987,present,31,1987,1991,53
1988,present,2,1987,1991,53
1989,present,16,1987,1991,53
1990,present,2,1987,1991,53
1991,present,2,1987,1991,53
1992,present,15,1992,1996,76
1993,present,9,1992,1996,76
1994,present,20,1992,1996,76
1995,present,9,1992,1996,76
1996,present,23,1992,1996,76
1997,present,3,1997,2001,43
1998,present,4,1997,2001,43
1999,present,15,1997,2001,43
2000,present,2,1997,2001,43
2001,present,19,1997,2001,43
2002,present,9,2002,2006,50
2003,present,14,2002,2006,50
2004,present,17,2002,2006,50
2005,present,4,2002,2006,50
2006,present,6,2002,2006,50
2007,present,6,2007,2011,161
2008,present,35,2007,2011,161
2009,present,7,2007,2011,161
2010,present,47,2007,2011,161
2011,present,66,2007,2011,161
2012,present,74,2012,2015,191
2013,present,71,2012,2015,191
2014,present,38,2012,2015,191
2015,present,8,2012,2015,191
