attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count
SRC_NEWSG_MANUAL_19810523_MAYGARDEN,1981,1981-05-23,1946-1987_taiwan_side_formation,May Garden Restaurant,Singapore,,Singapore,newspaper_archive,The Straits Times / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19810523-1,article,1981 Singapore May Garden Taiwanese restaurant rice porridge feature,high,New non-duplicate NewspaperSG feature article; one article kept as one attestation artifact.,SRC_NEWSG_MANUAL_19810523_MAYGARDEN,probable,Singapore,nearest Taiwanese restaurant; rice porridge; May Garden Restaurant,rice porridge,Taiwanese restaurant;Taiwanese fare,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19810523-1,,SRC_NEWSG_MANUAL_19810523_MAYGARDEN,1
SRC_NEWSG_MANUAL_19860919_EQUATORIAL,1986,1986-09-19,1946-1987_taiwan_side_formation,Hotel Equatorial Food Stop Stevens Corner Coffee House,Singapore,,Singapore,newspaper_archive,The Straits Times / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19860919-1,ad,1986 Singapore Hotel Equatorial Stevens Corner Taiwanese buffet advertisement,high,New non-duplicate NewspaperSG advertisement; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19860919_EQUATORIAL,probable,Singapore,FOOD STOP; popular Taiwanese Buffet; Stevens Corner Coffee House,Taiwanese Buffet,Taiwanese,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19860919-1,,SRC_NEWSG_MANUAL_19860919_EQUATORIAL,1
SRC_NEWSG_MANUAL_19760928_MAYGARDEN,1976,1976-09-28,1946-1987_taiwan_side_formation,May Garden Restaurant,Singapore,,Singapore,newspaper_archive,The Straits Times / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19760928-1,ad,1976 Singapore May Garden Taiwanese cuisine porridge advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19760928_MAYGARDEN,probable,Singapore,May Garden Restaurant; superb Taiwanese cuisine; porridge; seafood,porridge,Taiwanese cuisine,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19760928-1,,SRC_NEWSG_MANUAL_19760928_MAYGARDEN,1
SRC_NEWSG_MANUAL_19780206_TWSEAFOOD,1978,1978-02-06,1946-1987_taiwan_side_formation,Taiwanese Seafood Restaurant Singapore,Singapore,,Singapore,newspaper_archive,The Straits Times / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19780206-1,ad,1978 Singapore Taiwanese seafood restaurant genuine Taiwanese cuisine advertisement,medium,Brand text partly OCR-noisy; retained as one ad artifact with conservative brand label.,SRC_NEWSG_MANUAL_19780206_TWSEAFOOD,probable,Singapore,Genuine Taiwanese Cuisine and Seafoods; Upper Serangoon branch,seafoods,Taiwanese cuisine,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19780206-1,,SRC_NEWSG_MANUAL_19780206_TWSEAFOOD,1
SRC_NEWSG_MANUAL_19791110_MAYGARDEN,1979,1979-11-10,1946-1987_taiwan_side_formation,May Garden Restaurant,Singapore,,Singapore,newspaper_archive,New Nation / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19791110-1,ad,1979 Singapore May Garden Taiwanese cuisine in town advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19791110_MAYGARDEN,probable,Singapore,Taiwanese Cuisine in Town; daily new dishes from our kitchen; May Garden Restaurant,daily new dishes,Taiwanese Cuisine,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19791110-1,,SRC_NEWSG_MANUAL_19791110_MAYGARDEN,1
SRC_NEWSG_MANUAL_19800712_TWSEAFOOD,1980,1980-07-12,1946-1987_taiwan_side_formation,Taiwan Seafood Restaurant,Singapore,,Singapore,newspaper_archive,New Nation / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19800712-1,ad,1980 Singapore first Taiwan seafood restaurant rice porridge advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19800712_TWSEAFOOD,probable,Singapore,Singapore's first Taiwan sea food restaurant; taste of our Taiwan delicacy; staple rice porridge,rice porridge;sea food,Taiwan;Taiwan delicacy,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19800712-1,,SRC_NEWSG_MANUAL_19800712_TWSEAFOOD,1
SRC_NEWSG_MANUAL_19800802_TWSEAFOOD,1980,1980-08-02,1946-1987_taiwan_side_formation,Taiwan Seafood Restaurant,Singapore,,Singapore,newspaper_archive,New Nation / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19800802-1,ad,1980 Singapore first Taiwan seafood restaurant repeat advertisement,high,New non-duplicate NewspaperSG ad; repeated ad artifact retained separately for circulation evidence.,SRC_NEWSG_MANUAL_19800802_TWSEAFOOD,probable,Singapore,Singapore's first Taiwan sea food restaurant; come and have a taste of our Taiwan delicacy,sea food,Taiwan;Taiwan delicacy,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19800802-1,,SRC_NEWSG_MANUAL_19800802_TWSEAFOOD,1
SRC_NEWSG_MANUAL_19810102_TWSEAFOOD,1981,1981-01-02,1946-1987_taiwan_side_formation,Taiwan Seafood Restaurant,Singapore,,Singapore,newspaper_archive,New Nation / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19810102-1,ad,1981 Singapore first Taiwan seafood restaurant Parklane advertisement,medium,OCR is noisy but source phrase and location are visible; one ad kept as one artifact.,SRC_NEWSG_MANUAL_19810102_TWSEAFOOD,probable,Singapore,Parklane Shopping Mall; Singapore's first Taiwan sea food restaurant,sea food,Taiwan sea food restaurant,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19810102-1,,SRC_NEWSG_MANUAL_19810102_TWSEAFOOD,1
SRC_NEWSG_MANUAL_19810815_TWSEAFOOD,1981,1981-08-15,1946-1987_taiwan_side_formation,Taiwan Seafood Restaurant,Singapore,,Singapore,newspaper_archive,The Straits Times / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19810815-1,ad,1981 Singapore Taiwan seafood restaurant rice porridge advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19810815_TWSEAFOOD,probable,Singapore,Singapore's first Taiwan sea food restaurant; taste of our Taiwanese delicacy; rice porridge,rice porridge;sea food,Taiwanese delicacy;Taiwan sea food,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19810815-1,,SRC_NEWSG_MANUAL_19810815_TWSEAFOOD,1
SRC_NEWSG_MANUAL_19810912_TWSEAFOOD,1981,1981-09-12,1946-1987_taiwan_side_formation,Taiwan Seafood Restaurant,Singapore,,Singapore,newspaper_archive,The Straits Times / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19810912-1,ad,1981 Singapore Taiwan seafood restaurant Taiwanese delicacy advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19810912_TWSEAFOOD,probable,Singapore,Singapore's first Taiwan sea food restaurant; taste of our Taiwanese delicacy sea food; staple rice porridge,rice porridge;sea food,Taiwanese delicacy;Taiwan sea food,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19810912-1,,SRC_NEWSG_MANUAL_19810912_TWSEAFOOD,1
SRC_NEWSG_MANUAL_19810914_UMEKO,1981,1981-09-14,1946-1987_taiwan_side_formation,Taiwan's Umeko Sister Restaurant,Singapore,,Singapore,newspaper_archive,New Nation / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19810914-1,ad,1981 Singapore Taiwan Umeko Sister Restaurant Taiwanese chefs cuisine advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19810914_UMEKO,probable,Singapore,Taiwan's Umeko Sister Restaurant; Szechuan food specially prepared by reputable Taiwanese chefs; Taiwanese cuisine and seafood,Szechuan food;seafood,Taiwanese chefs;Taiwanese cuisine,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19810914-1,,SRC_NEWSG_MANUAL_19810914_UMEKO,1
SRC_NEWSG_MANUAL_19820405_USZECHUAN,1982,1982-04-05,1946-1987_taiwan_side_formation,U Szechuan Restaurant,Singapore,,Singapore,newspaper_archive,New Nation / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19820405-1,ad,1982 Singapore U Szechuan Restaurant Taiwanese chefs cuisine advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19820405_USZECHUAN,probable,Singapore,Genuine Szechuan cuisine by reputable Taiwanese chefs; as usual we serve Taiwanese cuisine seafood,Szechuan cuisine;seafood,Taiwanese chefs;Taiwanese cuisine,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19820405-1,,SRC_NEWSG_MANUAL_19820405_USZECHUAN,1
SRC_NEWSG_MANUAL_19820715_OMEI,1982,1982-07-15,1946-1987_taiwan_side_formation,Omei Szechuan Cuisine,Singapore,,Singapore,newspaper_archive,New Nation / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19820715-1,ad,1982 Singapore Omei Szechuan cuisine Taiwanese chefs advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19820715_OMEI,probable,Singapore,Szechuan cuisine and live seafood; try our Szechuan cuisine prepared by our Taiwanese chefs; Omei special fish,Szechuan cuisine;live seafood;Omei special fish,Taiwanese chefs,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19820715-1,,SRC_NEWSG_MANUAL_19820715_OMEI,1
SRC_NEWSG_MANUAL_19821101_UMEKO,1982,1982-11-01,1946-1987_taiwan_side_formation,Taiwan Umeko Sister Restaurant,Singapore,,Singapore,newspaper_archive,The Straits Times / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19821101-1,ad,1982 Singapore Taiwan Umeko Sister Restaurant Taiwanese chefs advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19821101_UMEKO,probable,Singapore,Taiwan Umeko Sister Restaurant; Szechuan food specially prepared by reputable Taiwanese chefs; Taiwanese cuisine and seafood,Szechuan food;seafood,Taiwanese chefs;Taiwanese cuisine,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19821101-1,,SRC_NEWSG_MANUAL_19821101_UMEKO,1
SRC_NEWSG_MANUAL_19831212_UMEKO,1983,1983-12-12,1946-1987_taiwan_side_formation,Taipei Umeko Sister Restaurant,Singapore,,Singapore,newspaper_archive,Singapore Monitor / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/singmonitor19831212-2,ad,1983 Singapore Taipei Umeko Taiwanese cuisine live seafood advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19831212_UMEKO,probable,Singapore,Taiwanese cuisine; live seafood; Sze Chuan food; airflown from Taiwan Kabayaki Abalone Clams Bean Sprout,Kabayaki;abalone;clams;bean sprout;live seafood,Taiwanese cuisine;airflown from Taiwan,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/singmonitor19831212-2,,SRC_NEWSG_MANUAL_19831212_UMEKO,1
SRC_NEWSG_MANUAL_19840419_UMEKO,1984,1984-04-19,1946-1987_taiwan_side_formation,Taipei Umeko Sister Restaurant,Singapore,,Singapore,newspaper_archive,Singapore Monitor / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/singmonitor19840419-2,ad,1984 Singapore Taipei Umeko Taiwanese cuisine live seafood advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19840419_UMEKO,probable,Singapore,Taiwanese cuisine; live seafood; Sze Chuan food; airflown from Taiwan Kabayaki Abalone Clams Bean Sprout,Kabayaki;abalone;clams;bean sprout;live seafood,Taiwanese cuisine;airflown from Taiwan,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/singmonitor19840419-2,,SRC_NEWSG_MANUAL_19840419_UMEKO,1
SRC_NEWSG_MANUAL_19840813_UMEKO,1984,1984-08-13,1946-1987_taiwan_side_formation,Taipei Umeko Sister Restaurant,Singapore,,Singapore,newspaper_archive,The Straits Times / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19840813-1,ad,1984 Singapore Taipei Umeko Taiwanese cuisine lunch dinner advertisement,high,New non-duplicate NewspaperSG ad; one ad kept as one attestation artifact.,SRC_NEWSG_MANUAL_19840813_UMEKO,probable,Singapore,Taipei Umeko Sister Restaurant; Taiwanese cuisine; live seafood; Szechuan food; dinner parties,live seafood;Szechuan food,Taiwanese cuisine,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19840813-1,,SRC_NEWSG_MANUAL_19840813_UMEKO,1
