attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count,novelty_score,avg_text_similarity,novelty_group_size,novelty_group_key,authority_level,authority_weight,authority_reason
SRC_R010B04_TW_376440000A_000397_OFFICIAL,2025,2025-05-09,2015-2025_platformization,劉大叔肉圓,竹北市,Taiwan,Taiwan-side,official_open_data,Taiwan Tourism Administration Open Multimedia Data,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000397,official_restaurant_open_data,2025 official open-data page classifies 劉大叔肉圓 as 台灣小吃/台菜（Taiwanese Cuisine） with markers 肉圓; 小吃; 台菜; Taiwanese Cuisine,high,"Official Tourism Administration open-data page gives update date, local government source, restaurant category and direct marker evidence. Duplicate source-url and artifact-key checked against Round010 overlay before append; one row represents one source artifact. TLS certificate validation was relaxed for metadata fetch because local Python rejected the site certificate, while the exact public URL is browser/web accessible.",SRC_R010B04_TW_376440000A_000397_OFFICIAL,verified,Taiwan-side,資料更新日期時間 2025-05-09T06:42:56+08:00；餐飲店家類型：台灣小吃/台菜（Taiwanese Cuisine）；劉大叔肉圓；台灣小吃/台菜（Taiwanese Cuisine）,肉圓;小吃;台菜;Taiwanese Cuisine,台灣小吃/台菜;Taiwanese Cuisine;台菜;Taiwan,,,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000397,0786082105133b52,SRC_R010B04_TW_376440000A_000397_OFFICIAL,1,0.9000,0.1000,1,劉大叔肉圓,secondary,0.7000,official Taiwan Tourism Administration open-data source with direct date evidence
SRC_R010B04_TW_376440000A_000485_OFFICIAL,2025,2025-05-29,2015-2025_platformization,包Sir牛肉麵餃子館,竹東鎮,Taiwan,Taiwan-side,official_open_data,Taiwan Tourism Administration Open Multimedia Data,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000485,official_restaurant_open_data,2025 official open-data page classifies 包Sir牛肉麵餃子館 as 台灣小吃/台菜（Taiwanese Cuisine）; 牛肉麵（Beef Noodle Soup） with markers 牛肉麵; 餃子; 小吃; 台菜,high,"Official Tourism Administration open-data page gives update date, local government source, restaurant category and direct marker evidence. Duplicate source-url and artifact-key checked against Round010 overlay before append; one row represents one source artifact. TLS certificate validation was relaxed for metadata fetch because local Python rejected the site certificate, while the exact public URL is browser/web accessible.",SRC_R010B04_TW_376440000A_000485_OFFICIAL,verified,Taiwan-side,資料更新日期時間 2025-05-29T02:14:06+08:00；餐飲店家類型：台灣小吃/台菜（Taiwanese Cuisine）、牛肉麵（Beef Noodle Soup）；包Sir牛肉麵餃子館；台灣小吃/台菜（Taiwanese Cuisine）; 牛肉麵（Beef Noodle Soup）,牛肉麵;餃子;小吃;台菜;Taiwanese Cuisine;Beef Noodle Soup,台灣小吃/台菜;Taiwanese Cuisine;台菜;Taiwan,,,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000485,00fb420570f5bfc7,SRC_R010B04_TW_376440000A_000485_OFFICIAL,1,0.9000,0.1000,1,包Sir牛肉麵餃子館,secondary,0.7000,official Taiwan Tourism Administration open-data source with direct date evidence
SRC_R010B04_TW_376440000A_000198_OFFICIAL,2025,2025-05-19,2015-2025_platformization,文化城牛肉麵,竹北市,Taiwan,Taiwan-side,official_open_data,Taiwan Tourism Administration Open Multimedia Data,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000198,official_restaurant_open_data,2025 official open-data page classifies 文化城牛肉麵 as 台灣小吃/台菜（Taiwanese Cuisine）; 牛肉麵（Beef Noodle Soup） with markers 牛肉麵; 小吃; 台菜; Taiwanese Cuisine,high,"Official Tourism Administration open-data page gives update date, local government source, restaurant category and direct marker evidence. Duplicate source-url and artifact-key checked against Round010 overlay before append; one row represents one source artifact. TLS certificate validation was relaxed for metadata fetch because local Python rejected the site certificate, while the exact public URL is browser/web accessible.",SRC_R010B04_TW_376440000A_000198_OFFICIAL,verified,Taiwan-side,資料更新日期時間 2025-05-19T03:25:04+08:00；餐飲店家類型：台灣小吃/台菜（Taiwanese Cuisine）、牛肉麵（Beef Noodle Soup）；文化城牛肉麵；台灣小吃/台菜（Taiwanese Cuisine）; 牛肉麵（Beef Noodle Soup）,牛肉麵;小吃;台菜;Taiwanese Cuisine;Beef Noodle Soup,台灣小吃/台菜;Taiwanese Cuisine;台菜;Taiwan,,,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000198,d6041abf31acd61b,SRC_R010B04_TW_376440000A_000198_OFFICIAL,1,0.9000,0.1000,1,文化城牛肉麵,secondary,0.7000,official Taiwan Tourism Administration open-data source with direct date evidence
SRC_R010B04_TW_376440000A_000529_OFFICIAL,2025,2025-05-06,2015-2025_platformization,竹北 原味牛肉麵,竹北市,Taiwan,Taiwan-side,official_open_data,Taiwan Tourism Administration Open Multimedia Data,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000529,official_restaurant_open_data,2025 official open-data page classifies 竹北 原味牛肉麵 as 台灣小吃/台菜（Taiwanese Cuisine）; 牛肉麵（Beef Noodle Soup） with markers 牛肉麵; 小吃; 台菜; Taiwanese Cuisine,high,"Official Tourism Administration open-data page gives update date, local government source, restaurant category and direct marker evidence. Duplicate source-url and artifact-key checked against Round010 overlay before append; one row represents one source artifact. TLS certificate validation was relaxed for metadata fetch because local Python rejected the site certificate, while the exact public URL is browser/web accessible.",SRC_R010B04_TW_376440000A_000529_OFFICIAL,verified,Taiwan-side,資料更新日期時間 2025-05-06T07:49:34+08:00；餐飲店家類型：台灣小吃/台菜（Taiwanese Cuisine）、牛肉麵（Beef Noodle Soup）；竹北 原味牛肉麵；台灣小吃/台菜（Taiwanese Cuisine）; 牛肉麵（Beef Noodle Soup）,牛肉麵;小吃;台菜;Taiwanese Cuisine;Beef Noodle Soup,台灣小吃/台菜;Taiwanese Cuisine;台菜;Taiwan,,,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000529,898245928766ebff,SRC_R010B04_TW_376440000A_000529_OFFICIAL,1,0.9000,0.1000,1,竹北 原味牛肉麵,secondary,0.7000,official Taiwan Tourism Administration open-data source with direct date evidence
SRC_R010B04_TW_376440000A_000130_OFFICIAL,2025,2025-05-06,2015-2025_platformization,老兄牛肉麵,新豐鄉,Taiwan,Taiwan-side,official_open_data,Taiwan Tourism Administration Open Multimedia Data,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000130,official_restaurant_open_data,2025 official open-data page classifies 老兄牛肉麵 as 台灣小吃/台菜（Taiwanese Cuisine）; 牛肉麵（Beef Noodle Soup） with markers 牛肉麵; 小吃; 台菜; Taiwanese Cuisine,high,"Official Tourism Administration open-data page gives update date, local government source, restaurant category and direct marker evidence. Duplicate source-url and artifact-key checked against Round010 overlay before append; one row represents one source artifact. TLS certificate validation was relaxed for metadata fetch because local Python rejected the site certificate, while the exact public URL is browser/web accessible.",SRC_R010B04_TW_376440000A_000130_OFFICIAL,verified,Taiwan-side,資料更新日期時間 2025-05-06T06:23:24+08:00；餐飲店家類型：台灣小吃/台菜（Taiwanese Cuisine）、牛肉麵（Beef Noodle Soup）；老兄牛肉麵；台灣小吃/台菜（Taiwanese Cuisine）; 牛肉麵（Beef Noodle Soup）,牛肉麵;小吃;台菜;Taiwanese Cuisine;Beef Noodle Soup,台灣小吃/台菜;Taiwanese Cuisine;台菜;Taiwan,,,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000130,782e076923d2edcf,SRC_R010B04_TW_376440000A_000130_OFFICIAL,1,0.9000,0.1000,1,老兄牛肉麵,secondary,0.7000,official Taiwan Tourism Administration open-data source with direct date evidence
SRC_R010B04_TW_376440000A_000112_OFFICIAL,2025,2025-05-22,2015-2025_platformization,福州牛肉麵,關西鎮,Taiwan,Taiwan-side,official_open_data,Taiwan Tourism Administration Open Multimedia Data,https://media.taiwan.net.tw/en-us/portal/travel/details/restaurant_376440000a_000112,official_restaurant_open_data,2025 official open-data page classifies 福州牛肉麵 as 台灣小吃/台菜（Taiwanese Cuisine）; 牛肉麵（Beef Noodle Soup） with markers 牛肉麵; 小吃; 台菜; Taiwanese Cuisine,high,"Official Tourism Administration open-data page gives update date, local government source, restaurant category and direct marker evidence. Duplicate source-url and artifact-key checked against Round010 overlay before append; one row represents one source artifact. TLS certificate validation was relaxed for metadata fetch because local Python rejected the site certificate, while the exact public URL is browser/web accessible.",SRC_R010B04_TW_376440000A_000112_OFFICIAL,verified,Taiwan-side,資料更新日期時間 2025-05-22T09:08:59+08:00；餐飲店家類型：台灣小吃/台菜（Taiwanese Cuisine）、牛肉麵（Beef Noodle Soup）；福州牛肉麵；台灣小吃/台菜（Taiwanese Cuisine）; 牛肉麵（Beef Noodle Soup）,牛肉麵;小吃;台菜;Taiwanese Cuisine;Beef Noodle Soup,台灣小吃/台菜;Taiwanese Cuisine;台菜;Taiwan,,,https://media.taiwan.net.tw/en-us/portal/travel/details/restaurant_376440000a_000112,701d476161a2e1d2,SRC_R010B04_TW_376440000A_000112_OFFICIAL,1,0.9000,0.1000,1,福州牛肉麵,secondary,0.7000,official Taiwan Tourism Administration open-data source with direct date evidence
SRC_R010B04_TW_376440000A_000458_OFFICIAL,2025,2025-05-23,2015-2025_platformization,陳記大腸蚵仔麵線,湖口鄉,Taiwan,Taiwan-side,official_open_data,Taiwan Tourism Administration Open Multimedia Data,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000458,official_restaurant_open_data,2025 official open-data page classifies 陳記大腸蚵仔麵線 as 台灣小吃/台菜（Taiwanese Cuisine） with markers 蚵仔麵線; 麵線; 小吃; 台菜,high,"Official Tourism Administration open-data page gives update date, local government source, restaurant category and direct marker evidence. Duplicate source-url and artifact-key checked against Round010 overlay before append; one row represents one source artifact. TLS certificate validation was relaxed for metadata fetch because local Python rejected the site certificate, while the exact public URL is browser/web accessible.",SRC_R010B04_TW_376440000A_000458_OFFICIAL,verified,Taiwan-side,資料更新日期時間 2025-05-23T09:14:47+08:00；餐飲店家類型：台灣小吃/台菜（Taiwanese Cuisine）；陳記大腸蚵仔麵線；台灣小吃/台菜（Taiwanese Cuisine）,蚵仔麵線;麵線;小吃;台菜;Taiwanese Cuisine,台灣小吃/台菜;Taiwanese Cuisine;台菜;Taiwan,,,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000458,aafbf20cd05b86f8,SRC_R010B04_TW_376440000A_000458_OFFICIAL,1,0.9000,0.1000,1,陳記大腸蚵仔麵線,secondary,0.7000,official Taiwan Tourism Administration open-data source with direct date evidence
SRC_R010B04_TW_376440000A_000452_OFFICIAL,2025,2025-05-09,2015-2025_platformization,關西公園臭豆腐,關西鎮,Taiwan,Taiwan-side,official_open_data,Taiwan Tourism Administration Open Multimedia Data,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000452,official_restaurant_open_data,2025 official open-data page classifies 關西公園臭豆腐 as 台灣小吃/台菜（Taiwanese Cuisine） with markers 臭豆腐; 小吃; 台菜; Taiwanese Cuisine,high,"Official Tourism Administration open-data page gives update date, local government source, restaurant category and direct marker evidence. Duplicate source-url and artifact-key checked against Round010 overlay before append; one row represents one source artifact. TLS certificate validation was relaxed for metadata fetch because local Python rejected the site certificate, while the exact public URL is browser/web accessible.",SRC_R010B04_TW_376440000A_000452_OFFICIAL,verified,Taiwan-side,資料更新日期時間 2025-05-09T07:51:59+08:00；餐飲店家類型：台灣小吃/台菜（Taiwanese Cuisine）；關西公園臭豆腐；台灣小吃/台菜（Taiwanese Cuisine）,臭豆腐;小吃;台菜;Taiwanese Cuisine,台灣小吃/台菜;Taiwanese Cuisine;台菜;Taiwan,,,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000452,2d7511e0b4671641,SRC_R010B04_TW_376440000A_000452_OFFICIAL,1,0.9000,0.1000,1,關西公園臭豆腐,secondary,0.7000,official Taiwan Tourism Administration open-data source with direct date evidence
SRC_R010B04_TW_376440000A_000109_OFFICIAL,2025,2025-05-19,2015-2025_platformization,簡老闆臭豆腐牽漿,竹東鎮,Taiwan,Taiwan-side,official_open_data,Taiwan Tourism Administration Open Multimedia Data,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000109,official_restaurant_open_data,2025 official open-data page classifies 簡老闆臭豆腐牽漿 as 台灣小吃/台菜（Taiwanese Cuisine） with markers 臭豆腐; 小吃; 台菜; Taiwanese Cuisine,high,"Official Tourism Administration open-data page gives update date, local government source, restaurant category and direct marker evidence. Duplicate source-url and artifact-key checked against Round010 overlay before append; one row represents one source artifact. TLS certificate validation was relaxed for metadata fetch because local Python rejected the site certificate, while the exact public URL is browser/web accessible.",SRC_R010B04_TW_376440000A_000109_OFFICIAL,verified,Taiwan-side,資料更新日期時間 2025-05-19T05:14:02+08:00；餐飲店家類型：台灣小吃/台菜（Taiwanese Cuisine）；簡老闆臭豆腐牽漿；台灣小吃/台菜（Taiwanese Cuisine）,臭豆腐;小吃;台菜;Taiwanese Cuisine,台灣小吃/台菜;Taiwanese Cuisine;台菜;Taiwan,,,https://media.taiwan.net.tw/zh-tw/portal/travel/details/restaurant_376440000a_000109,1c40902b898fd454,SRC_R010B04_TW_376440000A_000109_OFFICIAL,1,0.9000,0.1000,1,簡老闆臭豆腐牽漿,secondary,0.7000,official Taiwan Tourism Administration open-data source with direct date evidence
SRC_R010B04_TW_376480000A_000060_OFFICIAL,2023,2023-06-30,2015-2025_platformization,竹山捲仔粿,竹山鎮,Taiwan,Taiwan-side,official_open_data,Taiwan Tourism Administration Open Multimedia Data,https://media.taiwan.net.tw/en-us/portal/travel/details/restaurant_376480000a_000060,official_restaurant_open_data,2023 official open-data page classifies 竹山捲仔粿 as 台灣小吃/台菜（Taiwanese Cuisine） with markers 捲仔粿; 小吃; 台菜; Taiwanese Cuisine,high,"Official Tourism Administration open-data page gives update date, local government source, restaurant category and direct marker evidence. Duplicate source-url and artifact-key checked against Round010 overlay before append; one row represents one source artifact. TLS certificate validation was relaxed for metadata fetch because local Python rejected the site certificate, while the exact public URL is browser/web accessible.",SRC_R010B04_TW_376480000A_000060_OFFICIAL,verified,Taiwan-side,資料更新日期時間 2023-06-30T17:30:00+08:00；餐飲店家類型：台灣小吃/台菜（Taiwanese Cuisine）；竹山捲仔粿；竹山捲仔粿是竹山當地已有60年歷史的傳統特色小吃，外皮Q嫩，內餡使用在來米、蝦米及油蔥做成，滑嫩好入口，就像裹著皮的碗粿，相當有特色。,捲仔粿;小吃;台菜;Taiwanese Cuisine,台灣小吃/台菜;Taiwanese Cuisine;台菜;Taiwan,,,https://media.taiwan.net.tw/en-us/portal/travel/details/restaurant_376480000a_000060,2f1623447cef4cbb,SRC_R010B04_TW_376480000A_000060_OFFICIAL,1,0.9000,0.1000,1,竹山捲仔粿,secondary,0.7000,official Taiwan Tourism Administration open-data source with direct date evidence
